sample_id,target,status,target_family,k,original_score,top_k_features,top_k_removal_effect,random_removal_effect_mean,random_removal_effect_std,top_minus_random,top_effect_exceeds_random,method
LOCAC_12,family_score,requires_review,primary_coolant_boundary_break,5,0.9793612585081954,"[""WSTA__std"", ""QMGB__slope"", ""WSTA__last"", ""TAVG__last"", ""WSTA__mean""]",0.604403664064407,0.0467547300539229,0.0935094601078458,0.5576489340104841,True,reference replacement in frozen model input space
LOCAC_19,family_score,accepted,primary_coolant_boundary_break,5,0.9989539822509846,"[""WSTA__std"", ""WSTB__last"", ""WSTA__last"", ""TAVG__last"", ""WSTA__mean""]",0.4193874494952816,3.714457494947698e-05,4.941642084822358e-05,0.41935030492033215,True,reference replacement in frozen model input space
LOCAC_19,loca_severity,accepted,primary_coolant_boundary_break,5,12.950941798941805,"[""QMGB__std"", ""TCA__mean"", ""WFWB__slope"", ""QMGB__slope"", ""THA__mean""]",-2.580015873015858,-0.5514396825396816,0.3727327597542291,-2.0285761904761768,False,reference replacement in frozen severity model input space
LOCAC_20,family_score,accepted,primary_coolant_boundary_break,5,0.9989539822509846,"[""WSTA__std"", ""WSTB__last"", ""WSTA__last"", ""TAVG__last"", ""WSTA__mean""]",0.4193874494952816,2.2812519737280822e-05,4.5625039474561645e-05,0.4193646369755443,True,reference replacement in frozen model input space
LOCAC_20,loca_severity,accepted,primary_coolant_boundary_break,5,13.764812169312176,"[""WFWB__slope"", ""QMGB__slope"", ""TCA__mean"", ""THA__mean"", ""PSGA__last""]",-2.445626984126971,-0.7703386243386191,0.4576034211612468,-1.6752883597883517,False,reference replacement in frozen severity model input space
LOCAC_24,family_score,accepted,primary_coolant_boundary_break,5,0.9811389273815992,"[""WSTA__std"", ""QMGB__slope"", ""WSTA__last"", ""TAVG__last"", ""WSTA__mean""]",0.5844123611877136,0.0022651472260658556,0.002657894094181798,0.5821472139616477,True,reference replacement in frozen model input space
LOCAC_24,loca_severity,accepted,primary_coolant_boundary_break,5,17.315370370370363,"[""THA__std"", ""QMGB__slope"", ""QMWT__std"", ""TCA__mean"", ""WFWA__slope""]",-0.34627777777778235,-0.18250740740740384,0.43821916204238537,-0.1637703703703785,False,reference replacement in frozen severity model input space
LOCAC_25,family_score,accepted,primary_coolant_boundary_break,5,0.9987922096592504,"[""WSTA__std"", ""WSTB__last"", ""WSTA__last"", ""TAVG__last"", ""NSGB__last""]",0.39210612088142993,6.293727042194774e-05,0.0001258745408438955,0.392043183611008,True,reference replacement in frozen model input space
LOCAC_25,loca_severity,accepted,primary_coolant_boundary_break,5,17.56214814814814,"[""THA__std"", ""QMWT__std"", ""QMGB__slope"", ""TCA__mean"", ""WFWA__slope""]",-0.2468333333333348,0.10266746031746195,0.4511247257336956,-0.3495007936507967,False,reference replacement in frozen severity model input space
LOCAC_27,family_score,accepted,primary_coolant_boundary_break,5,0.9987922096592504,"[""WSTA__std"", ""WSTB__last"", ""WSTA__last"", ""TAVG__last"", ""NSGB__last""]",0.39210612088142993,2.633587489637712e-05,5.267174979275424e-05,0.39207978500653357,True,reference replacement in frozen model input space
