split_type,split_id,window_s,eval_split,mode,model,threshold,selected_threshold,n_total,n_accepted,n_rejected,coverage,selective_accuracy,selective_macro_f1,balanced_accuracy,risk,selected_for_test,curve_point,calibration_folds,calibration_status
random,seed_20261930,120,validation,family_selective_curve,random_forest,0.45,0.5,101,100,1,0.9900990099009901,0.99,0.8438862724577011,0.9761904761904763,0.010000000000000009,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,validation,family_selective_curve,random_forest,0.5,0.5,101,99,2,0.9801980198019802,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,validation,family_selective_curve,random_forest,0.55,0.5,101,99,2,0.9801980198019802,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,validation,family_selective_curve,random_forest,0.6,0.5,101,98,3,0.9702970297029703,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,validation,family_selective_curve,random_forest,0.65,0.5,101,98,3,0.9702970297029703,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,validation,family_selective_curve,random_forest,0.7,0.5,101,98,3,0.9702970297029703,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,validation,family_selective_curve,random_forest,0.75,0.5,101,98,3,0.9702970297029703,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,validation,family_selective_curve,random_forest,0.8,0.5,101,98,3,0.9702970297029703,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,validation,family_selective_curve,random_forest,0.85,0.5,101,97,4,0.9603960396039604,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,validation,family_selective_curve,random_forest,0.9,0.5,101,94,7,0.9306930693069307,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,validation,family_selective_curve,random_forest,0.95,0.5,101,0,101,0.0,,,,,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,test,forced_family,random_forest,0.0,0.5,101,101,0,1.0,0.9702970297029703,0.8392152096752581,0.9838709677419355,0.02970297029702973,True,False,3.0,train_only_sigmoid_cv
random,seed_20261930,120,test,family_selective,random_forest,0.5,0.5,101,100,1,0.9900990099009901,0.98,0.8448714243499778,0.9888888888888889,0.020000000000000018,True,False,3.0,train_only_sigmoid_cv
random,seed_20261930,120,test,family_selective_curve,random_forest,0.0,0.5,101,101,0,1.0,0.9702970297029703,0.8392152096752581,0.9838709677419355,0.02970297029702973,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,test,family_selective_curve,random_forest,0.05,0.5,101,101,0,1.0,0.9702970297029703,0.8392152096752581,0.9838709677419355,0.02970297029702973,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,test,family_selective_curve,random_forest,0.1,0.5,101,101,0,1.0,0.9702970297029703,0.8392152096752581,0.9838709677419355,0.02970297029702973,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,test,family_selective_curve,random_forest,0.15,0.5,101,101,0,1.0,0.9702970297029703,0.8392152096752581,0.9838709677419355,0.02970297029702973,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,test,family_selective_curve,random_forest,0.2,0.5,101,101,0,1.0,0.9702970297029703,0.8392152096752581,0.9838709677419355,0.02970297029702973,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,test,family_selective_curve,random_forest,0.25,0.5,101,101,0,1.0,0.9702970297029703,0.8392152096752581,0.9838709677419355,0.02970297029702973,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,test,family_selective_curve,random_forest,0.3,0.5,101,101,0,1.0,0.9702970297029703,0.8392152096752581,0.9838709677419355,0.02970297029702973,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,test,family_selective_curve,random_forest,0.35,0.5,101,101,0,1.0,0.9702970297029703,0.8392152096752581,0.9838709677419355,0.02970297029702973,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,test,family_selective_curve,random_forest,0.4,0.5,101,100,1,0.9900990099009901,0.98,0.8448714243499778,0.9888888888888889,0.020000000000000018,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,test,family_selective_curve,random_forest,0.45,0.5,101,100,1,0.9900990099009901,0.98,0.8448714243499778,0.9888888888888889,0.020000000000000018,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,test,family_selective_curve,random_forest,0.5,0.5,101,100,1,0.9900990099009901,0.98,0.8448714243499778,0.9888888888888889,0.020000000000000018,True,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,test,family_selective_curve,random_forest,0.55,0.5,101,99,2,0.9801980198019802,0.98989898989899,0.8507755876176929,0.9942528735632185,0.010101010101010055,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,test,family_selective_curve,random_forest,0.6,0.5,101,99,2,0.9801980198019802,0.98989898989899,0.8507755876176929,0.9942528735632185,0.010101010101010055,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,test,family_selective_curve,random_forest,0.65,0.5,101,98,3,0.9702970297029703,0.9897959183673469,0.8506844506844508,0.9940476190476191,0.010204081632653073,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,test,family_selective_curve,random_forest,0.7,0.5,101,98,3,0.9702970297029703,0.9897959183673469,0.8506844506844508,0.9940476190476191,0.010204081632653073,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,test,family_selective_curve,random_forest,0.75,0.5,101,98,3,0.9702970297029703,0.9897959183673469,0.8506844506844508,0.9940476190476191,0.010204081632653073,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,test,family_selective_curve,random_forest,0.8,0.5,101,96,5,0.9504950495049505,0.9895833333333334,0.8505864354920958,0.9938271604938271,0.01041666666666663,False,True,3.0,train_only_sigmoid_cv
