window_s,feature_group,mechanism,proxy_type,n_ood_proxy,n_id_proxy,ood_reject_rate,id_reject_rate,auroc,auprc,mean_gap_rejected,mean_gap_accepted,gap_difference_rejected_minus_accepted
120,A_strict_38,combination,extrapolation_test_vs_random_test,206,1010,0.529126213592233,0.30594059405940593,0.8221426511583196,0.7288273335379551,5.73444976076555,3.780701754385965,1.953748006379585
120,A_strict_38,combination,large_nearest_severity_gap_proxy,1372,153,0.3680758017492711,0.30718954248366015,0.4382538729777625,0.8770453339952788,7.38768115942029,5.0215827338129495,2.3660984256073405
120,A_strict_38,conformal_alpha_0.10,extrapolation_test_vs_random_test,206,1010,0.24271844660194175,0.1188118811881188,0.5619532827069114,0.19967725209654635,6.147058823529412,4.176864244741874,1.9701945787875381
120,A_strict_38,conformal_alpha_0.10,large_nearest_severity_gap_proxy,1372,153,0.15743440233236153,0.12418300653594772,0.5166256978982069,0.9027384503056293,7.702127659574468,5.545736434108528,2.1563912254659403
120,A_strict_38,distance,extrapolation_test_vs_random_test,206,1010,0.6407766990291263,0.30198019801980197,0.8221426511583196,0.7288273335379551,6.862700228832952,3.1001283697047497,3.7625718591282022
120,A_strict_38,distance,large_nearest_severity_gap_proxy,1372,153,0.3826530612244898,0.30718954248366015,0.4382538729777625,0.8770453339952788,8.589160839160838,4.250786988457502,4.338373850703336
120,A_strict_38,margin,extrapolation_test_vs_random_test,206,1010,0.42718446601941745,0.2504950495049505,0.6889695280207632,0.46348334501566046,5.803519061583578,3.9257142857142857,1.8778047758692922
120,A_strict_38,margin,large_nearest_severity_gap_proxy,1372,153,0.2915451895043732,0.13725490196078433,0.5302025572133615,0.9058526439957466,7.247030878859857,5.355978260869565,1.891052617990292
120,A_strict_38,probability,extrapolation_test_vs_random_test,206,1010,0.4029126213592233,0.24257425742574257,0.7165625300394116,0.48804506420391747,5.5823170731707314,4.03490990990991,1.5474071632608215
120,A_strict_38,probability,large_nearest_severity_gap_proxy,1372,153,0.2820699708454811,0.13071895424836602,0.5500867013472056,0.9108279113430252,7.122850122850123,5.424865831842576,1.6979842910075469
