cohort,scope,window_s,input_group,accuracy_n,accuracy_mean,accuracy_std,accuracy_median,accuracy_min,accuracy_max,accuracy_ci95_low,accuracy_ci95_high,macro_f1_fixed_12_n,macro_f1_fixed_12_mean,macro_f1_fixed_12_std,macro_f1_fixed_12_median,macro_f1_fixed_12_min,macro_f1_fixed_12_max,macro_f1_fixed_12_ci95_low,macro_f1_fixed_12_ci95_high,macro_f1_observed_classes_n,macro_f1_observed_classes_mean,macro_f1_observed_classes_std,macro_f1_observed_classes_median,macro_f1_observed_classes_min,macro_f1_observed_classes_max,macro_f1_observed_classes_ci95_low,macro_f1_observed_classes_ci95_high,macro_f1_support_ge_3_n,macro_f1_support_ge_3_mean,macro_f1_support_ge_3_std,macro_f1_support_ge_3_median,macro_f1_support_ge_3_min,macro_f1_support_ge_3_max,macro_f1_support_ge_3_ci95_low,macro_f1_support_ge_3_ci95_high,macro_f1_support_ge_5_n,macro_f1_support_ge_5_mean,macro_f1_support_ge_5_std,macro_f1_support_ge_5_median,macro_f1_support_ge_5_min,macro_f1_support_ge_5_max,macro_f1_support_ge_5_ci95_low,macro_f1_support_ge_5_ci95_high,balanced_accuracy_n,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high
strict_matched_30_60_90_120,strict_pre_protection_only,30,A_strict_38,10,0.44105263157894736,0.03793694854954528,0.45263157894736844,0.35789473684210527,0.47368421052631576,0.41753906725988327,0.46456619589801146,10,0.21961714728427525,0.011654962137149796,0.21956521739130438,0.1962962962962963,0.23400673400673402,0.2123933269105775,0.226840967657973,10,0.3764865382016147,0.0199799350922568,0.37639751552795037,0.33650793650793653,0.4011544011544012,0.36410284613241856,0.38887023027081086,10,0.3764865382016147,0.0199799350922568,0.37639751552795037,0.33650793650793653,0.4011544011544012,0.36410284613241856,0.38887023027081086,10,0.3764865382016147,0.0199799350922568,0.37639751552795037,0.33650793650793653,0.4011544011544012,0.36410284613241856,0.38887023027081086,10,0.44761904761904764,0.011347942110860985,0.44841269841269843,0.42857142857142855,0.46031746031746035,0.44058552022913994,0.45465257500895534
strict_matched_30_60_90_120,strict_pre_protection_only,30,B_without_potential_leakage,10,0.4568421052631579,0.01505095479966821,0.45789473684210524,0.43157894736842106,0.47368421052631576,0.4475134268302277,0.46617078369608805,10,0.22200525313858094,0.011161425073791047,0.22333572224876574,0.2021276595744681,0.23400673400673402,0.2150873302059484,0.22892317607121349,10,0.38058043395185304,0.019133871555070375,0.38286123814074124,0.34650455927051677,0.4011544011544012,0.3687211374959115,0.39243973040779456,10,0.38058043395185304,0.019133871555070375,0.38286123814074124,0.34650455927051677,0.4011544011544012,0.3687211374959115,0.39243973040779456,10,0.38058043395185304,0.019133871555070375,0.38286123814074124,0.34650455927051677,0.4011544011544012,0.3687211374959115,0.39243973040779456,10,0.44761904761904764,0.011347942110860985,0.44841269841269843,0.42857142857142855,0.46031746031746035,0.44058552022913994,0.45465257500895534
strict_matched_30_60_90_120,strict_pre_protection_only,30,C_without_SLBIC_initial,10,0.44526315789473686,0.037479860191513205,0.45263157894736844,0.3473684210526316,0.47368421052631576,0.422032899875125,0.46849341591434873,10,0.22021724947557728,0.011673862653248619,0.21956521739130438,0.2021276595744681,0.23400673400673402,0.21298171444063382,0.22745278451052073,10,0.3775152848152753,0.020012335976997645,0.37639751552795037,0.34650455927051677,0.4011544011544012,0.36511151046965795,0.38991905916089264,10,0.3775152848152753,0.020012335976997645,0.37639751552795037,0.34650455927051677,0.4011544011544012,0.36511151046965795,0.38991905916089264,10,0.3775152848152753,0.020012335976997645,0.37639751552795037,0.34650455927051677,0.4011544011544012,0.36511151046965795,0.38991905916089264,10,0.44761904761904764,0.011347942110860985,0.44841269841269843,0.42857142857142855,0.46031746031746035,0.44058552022913994,0.45465257500895534
strict_matched_30_60_90_120,strict_pre_protection_only,60,A_strict_38,10,0.44526315789473686,0.033673243828800214,0.45263157894736844,0.35789473684210527,0.47368421052631576,0.4243922651405142,0.4661340506489595,10,0.22020028361209243,0.010441173260730456,0.21956521739130438,0.2021276595744681,0.23400673400673402,0.21372877737821477,0.22667178984597008,10,0.37748620047787274,0.017899154161252217,0.37639751552795037,0.34650455927051677,0.4011544011544012,0.36639218979122534,0.38858021116452013,10,0.37748620047787274,0.017899154161252217,0.37639751552795037,0.34650455927051677,0.4011544011544012,0.36639218979122534,0.38858021116452013,10,0.37748620047787274,0.017899154161252217,0.37639751552795037,0.34650455927051677,0.4011544011544012,0.36639218979122534,0.38858021116452013,10,0.44761904761904764,0.011347942110860985,0.44841269841269843,0.42857142857142855,0.46031746031746035,0.44058552022913994,0.45465257500895534
strict_matched_30_60_90_120,strict_pre_protection_only,60,B_without_potential_leakage,10,0.44105263157894736,0.036278054808597415,0.4473684210526316,0.3473684210526316,0.47368421052631576,0.4185672602529314,0.46353800290496333,10,0.21961432096567202,0.011019917356680783,0.21956521739130438,0.2021276595744681,0.23400673400673402,0.21278410542478107,0.22644453650656296,10,0.3764816930840092,0.018891286897167063,0.37639751552795037,0.34650455927051677,0.4011544011544012,0.3647727521567676,0.3881906340112508,10,0.3764816930840092,0.018891286897167063,0.37639751552795037,0.34650455927051677,0.4011544011544012,0.3647727521567676,0.3881906340112508,10,0.3764816930840092,0.018891286897167063,0.37639751552795037,0.34650455927051677,0.4011544011544012,0.3647727521567676,0.3881906340112508,10,0.44761904761904764,0.011347942110860985,0.44841269841269843,0.42857142857142855,0.46031746031746035,0.44058552022913994,0.45465257500895534
strict_matched_30_60_90_120,strict_pre_protection_only,60,C_without_SLBIC_initial,10,0.43684210526315786,0.038516663859824815,0.4473684210526316,0.3473684210526316,0.47368421052631576,0.4129692296722027,0.46071498085411305,10,0.21902634625663894,0.011652650716369367,0.21956521739130438,0.2021276595744681,0.23400673400673402,0.21180395851638345,0.22624873399689444,10,0.3754737364399525,0.019975972656633204,0.37639751552795037,0.34650455927051677,0.4011544011544012,0.36309250031380025,0.3878549725661048,10,0.3754737364399525,0.019975972656633204,0.37639751552795037,0.34650455927051677,0.4011544011544012,0.36309250031380025,0.3878549725661048,10,0.3754737364399525,0.019975972656633204,0.37639751552795037,0.34650455927051677,0.4011544011544012,0.36309250031380025,0.3878549725661048,10,0.44761904761904764,0.011347942110860985,0.44841269841269843,0.42857142857142855,0.46031746031746035,0.44058552022913994,0.45465257500895534
strict_matched_30_60_90_120,strict_pre_protection_only,90,A_strict_38,10,0.44526315789473686,0.037479860191513205,0.45263157894736844,0.3473684210526316,0.47368421052631576,0.422032899875125,0.46849341591434873,10,0.22021724947557728,0.011673862653248619,0.21956521739130438,0.2021276595744681,0.23400673400673402,0.21298171444063382,0.22745278451052073,10,0.3775152848152753,0.020012335976997645,0.37639751552795037,0.34650455927051677,0.4011544011544012,0.36511151046965795,0.38991905916089264,10,0.3775152848152753,0.020012335976997645,0.37639751552795037,0.34650455927051677,0.4011544011544012,0.36511151046965795,0.38991905916089264,10,0.3775152848152753,0.020012335976997645,0.37639751552795037,0.34650455927051677,0.4011544011544012,0.36511151046965795,0.38991905916089264,10,0.44761904761904764,0.011347942110860985,0.44841269841269843,0.42857142857142855,0.46031746031746035,0.44058552022913994,0.45465257500895534
strict_matched_30_60_90_120,strict_pre_protection_only,90,B_without_potential_leakage,10,0.44526315789473686,0.044118534200701484,0.45789473684210524,0.3263157894736842,0.47368421052631576,0.4179182070946953,0.47260810869477843,10,0.22025029204058283,0.014042805339801083,0.22333572224876574,0.19373127941805734,0.23400673400673402,0.21154647111660219,0.22895411296456347,10,0.37757192921242777,0.02407338058251615,0.38286123814074124,0.3321107647166697,0.4011544011544012,0.36265109334274664,0.3924927650821089,10,0.37757192921242777,0.02407338058251615,0.38286123814074124,0.3321107647166697,0.4011544011544012,0.36265109334274664,0.3924927650821089,10,0.37757192921242777,0.02407338058251615,0.38286123814074124,0.3321107647166697,0.4011544011544012,0.36265109334274664,0.3924927650821089,10,0.44761904761904764,0.011347942110860985,0.44841269841269843,0.42857142857142855,0.46031746031746035,0.44058552022913994,0.45465257500895534
strict_matched_30_60_90_120,strict_pre_protection_only,90,C_without_SLBIC_initial,10,0.44105263157894736,0.0401443992560381,0.45263157894736844,0.3473684210526316,0.47368421052631576,0.4161708751370905,0.4659343880208042,10,0.2196292747665442,0.012304980784907407,0.21956521739130438,0.2021276595744681,0.23400673400673402,0.21200256866094108,0.22725598087214732,10,0.3765073281712187,0.02109425277412699,0.37639751552795037,0.34650455927051677,0.4011544011544012,0.3634329748473276,0.38958168149510974,10,0.3765073281712187,0.02109425277412699,0.37639751552795037,0.34650455927051677,0.4011544011544012,0.3634329748473276,0.38958168149510974,10,0.3765073281712187,0.02109425277412699,0.37639751552795037,0.34650455927051677,0.4011544011544012,0.3634329748473276,0.38958168149510974,10,0.44761904761904764,0.011347942110860985,0.44841269841269843,0.42857142857142855,0.46031746031746035,0.44058552022913994,0.45465257500895534
strict_matched_30_60_90_120,strict_pre_protection_only,120,A_strict_38,10,0.9905263157894737,0.007766997761817059,0.9894736842105263,0.9789473684210527,1.0,0.9857122807017544,0.995340350877193,10,0.5783593402536537,0.004247258848363608,0.5783929090380703,0.5708171514623127,0.5833333333333334,0.5757268619461197,0.5809918185611876,10,0.9914731547205491,0.007281015168623294,0.9915307012081206,0.9785436882211076,1.0,0.9869603347647765,0.9959859746763217,10,0.9914731547205491,0.007281015168623294,0.9915307012081206,0.9785436882211076,1.0,0.9869603347647765,0.9959859746763217,10,0.9914731547205491,0.007281015168623294,0.9915307012081206,0.9785436882211076,1.0,0.9869603347647765,0.9959859746763217,10,0.9888095238095239,0.010949792654825596,0.9910714285714286,0.9672619047619049,1.0,0.9820227720091411,0.9955962756099067
strict_matched_30_60_90_120,strict_pre_protection_only,120,B_without_potential_leakage,10,0.9905263157894737,0.007766997761817059,0.9894736842105263,0.9789473684210527,1.0,0.9857122807017544,0.995340350877193,10,0.5783593402536537,0.004247258848363608,0.5783929090380703,0.5708171514623127,0.5833333333333334,0.5757268619461197,0.5809918185611876,10,0.9914731547205491,0.007281015168623294,0.9915307012081206,0.9785436882211076,1.0,0.9869603347647765,0.9959859746763217,10,0.9914731547205491,0.007281015168623294,0.9915307012081206,0.9785436882211076,1.0,0.9869603347647765,0.9959859746763217,10,0.9914731547205491,0.007281015168623294,0.9915307012081206,0.9785436882211076,1.0,0.9869603347647765,0.9959859746763217,10,0.9888095238095239,0.010949792654825596,0.9910714285714286,0.9672619047619049,1.0,0.9820227720091411,0.9955962756099067
strict_matched_30_60_90_120,strict_pre_protection_only,120,C_without_SLBIC_initial,10,0.991578947368421,0.0066574266529860595,0.9894736842105263,0.9789473684210527,1.0,0.9874526315789474,0.9957052631578946,10,0.578390575955621,0.004465092617265374,0.5783929090380703,0.5687846311371095,0.5833333333333334,0.5756230828793255,0.5811580690319166,10,0.9915267016382077,0.0076544444867406546,0.9915307012081206,0.9750593676636162,1.0,0.9867824277931295,0.9962709754832858,10,0.9915267016382077,0.0076544444867406546,0.9915307012081206,0.9750593676636162,1.0,0.9867824277931295,0.9962709754832858,10,0.9915267016382077,0.0076544444867406546,0.9915307012081206,0.9750593676636162,1.0,0.9867824277931295,0.9962709754832858,10,0.9883333333333335,0.011422782925613318,0.9910714285714286,0.9672619047619049,1.0,0.9812534191258601,0.995413247540807
