scope,input_group,window_s,selected_model,accident_class,recall,support,test_macro_f1,test_balanced_accuracy
all_sample,A_strict_38,10,hist_gradient_boosting,FLB,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,10,hist_gradient_boosting,LLB,0.0,11,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,10,hist_gradient_boosting,LOCAC,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,10,hist_gradient_boosting,RW,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,10,hist_gradient_boosting,RI,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,10,hist_gradient_boosting,SGBTR,1.0,11,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,10,hist_gradient_boosting,LOCA,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,20,hist_gradient_boosting,FLB,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,20,hist_gradient_boosting,LLB,0.0,11,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,20,hist_gradient_boosting,LOCAC,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,20,hist_gradient_boosting,RW,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,20,hist_gradient_boosting,RI,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,20,hist_gradient_boosting,SGBTR,1.0,11,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,20,hist_gradient_boosting,LOCA,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,30,hist_gradient_boosting,FLB,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,30,hist_gradient_boosting,LLB,0.0,11,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,30,hist_gradient_boosting,LOCAC,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,30,hist_gradient_boosting,RW,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,30,hist_gradient_boosting,RI,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,30,hist_gradient_boosting,SGBTR,1.0,11,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,30,hist_gradient_boosting,LOCA,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,40,hist_gradient_boosting,FLB,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,40,hist_gradient_boosting,LLB,0.0,11,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,40,hist_gradient_boosting,LOCAC,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,40,hist_gradient_boosting,RW,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,40,hist_gradient_boosting,RI,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,40,hist_gradient_boosting,SGBTR,1.0,11,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,40,hist_gradient_boosting,LOCA,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,60,hist_gradient_boosting,FLB,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,60,hist_gradient_boosting,LLB,0.0,11,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,60,hist_gradient_boosting,LOCAC,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,60,hist_gradient_boosting,RW,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,60,hist_gradient_boosting,RI,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,60,hist_gradient_boosting,SGBTR,1.0,11,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,60,hist_gradient_boosting,LOCA,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,90,hist_gradient_boosting,FLB,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,90,hist_gradient_boosting,LLB,0.0,11,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,90,hist_gradient_boosting,LOCAC,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,90,hist_gradient_boosting,RW,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,90,hist_gradient_boosting,RI,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,90,hist_gradient_boosting,SGBTR,1.0,11,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,90,hist_gradient_boosting,LOCA,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,A_strict_38,120,random_forest,FLB,1.0,10,0.7488484378142246,0.7848484848484848
all_sample,A_strict_38,120,random_forest,LLB,0.9090909090909091,11,0.7488484378142246,0.7848484848484848
all_sample,A_strict_38,120,random_forest,LOCAC,0.9,10,0.7488484378142246,0.7848484848484848
all_sample,A_strict_38,120,random_forest,RW,0.9,10,0.7488484378142246,0.7848484848484848
all_sample,A_strict_38,120,random_forest,RI,1.0,8,0.7488484378142246,0.7848484848484848
all_sample,A_strict_38,120,random_forest,SGBTR,0.9090909090909091,11,0.7488484378142246,0.7848484848484848
all_sample,A_strict_38,120,random_forest,LOCA,0.9,10,0.7488484378142246,0.7848484848484848
all_sample,B_without_potential_leakage,10,hist_gradient_boosting,FLB,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,10,hist_gradient_boosting,LLB,0.0,11,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,10,hist_gradient_boosting,LOCAC,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,10,hist_gradient_boosting,RW,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,10,hist_gradient_boosting,RI,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,10,hist_gradient_boosting,SGBTR,1.0,11,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,10,hist_gradient_boosting,LOCA,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,20,hist_gradient_boosting,FLB,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,20,hist_gradient_boosting,LLB,0.0,11,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,20,hist_gradient_boosting,LOCAC,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,20,hist_gradient_boosting,RW,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,20,hist_gradient_boosting,RI,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,20,hist_gradient_boosting,SGBTR,1.0,11,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,20,hist_gradient_boosting,LOCA,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,30,hist_gradient_boosting,FLB,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,30,hist_gradient_boosting,LLB,0.0,11,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,30,hist_gradient_boosting,LOCAC,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,30,hist_gradient_boosting,RW,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,30,hist_gradient_boosting,RI,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,30,hist_gradient_boosting,SGBTR,1.0,11,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,30,hist_gradient_boosting,LOCA,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,40,hist_gradient_boosting,FLB,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,40,hist_gradient_boosting,LLB,0.0,11,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,40,hist_gradient_boosting,LOCAC,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,40,hist_gradient_boosting,RW,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,40,hist_gradient_boosting,RI,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,40,hist_gradient_boosting,SGBTR,1.0,11,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,40,hist_gradient_boosting,LOCA,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,60,hist_gradient_boosting,FLB,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,60,hist_gradient_boosting,LLB,0.0,11,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,60,hist_gradient_boosting,LOCAC,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,60,hist_gradient_boosting,RW,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,60,hist_gradient_boosting,RI,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,60,hist_gradient_boosting,SGBTR,1.0,11,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,60,hist_gradient_boosting,LOCA,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,90,hist_gradient_boosting,FLB,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,90,hist_gradient_boosting,LLB,0.0,11,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,90,hist_gradient_boosting,LOCAC,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,90,hist_gradient_boosting,RW,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,90,hist_gradient_boosting,RI,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,90,hist_gradient_boosting,SGBTR,1.0,11,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,90,hist_gradient_boosting,LOCA,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,B_without_potential_leakage,120,random_forest,FLB,1.0,10,0.7488484378142246,0.7848484848484848
all_sample,B_without_potential_leakage,120,random_forest,LLB,0.9090909090909091,11,0.7488484378142246,0.7848484848484848
all_sample,B_without_potential_leakage,120,random_forest,LOCAC,0.9,10,0.7488484378142246,0.7848484848484848
all_sample,B_without_potential_leakage,120,random_forest,RW,0.9,10,0.7488484378142246,0.7848484848484848
all_sample,B_without_potential_leakage,120,random_forest,RI,1.0,8,0.7488484378142246,0.7848484848484848
all_sample,B_without_potential_leakage,120,random_forest,SGBTR,0.9090909090909091,11,0.7488484378142246,0.7848484848484848
all_sample,B_without_potential_leakage,120,random_forest,LOCA,0.9,10,0.7488484378142246,0.7848484848484848
all_sample,C_without_SLBIC_initial,10,hist_gradient_boosting,FLB,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,10,hist_gradient_boosting,LLB,0.0,11,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,10,hist_gradient_boosting,LOCAC,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,10,hist_gradient_boosting,RW,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,10,hist_gradient_boosting,RI,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,10,hist_gradient_boosting,SGBTR,1.0,11,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,10,hist_gradient_boosting,LOCA,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,20,hist_gradient_boosting,FLB,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,20,hist_gradient_boosting,LLB,0.0,11,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,20,hist_gradient_boosting,LOCAC,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,20,hist_gradient_boosting,RW,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,20,hist_gradient_boosting,RI,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,20,hist_gradient_boosting,SGBTR,1.0,11,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,20,hist_gradient_boosting,LOCA,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,30,hist_gradient_boosting,FLB,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,30,hist_gradient_boosting,LLB,0.0,11,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,30,hist_gradient_boosting,LOCAC,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,30,hist_gradient_boosting,RW,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,30,hist_gradient_boosting,RI,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,30,hist_gradient_boosting,SGBTR,1.0,11,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,30,hist_gradient_boosting,LOCA,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,40,hist_gradient_boosting,FLB,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,40,hist_gradient_boosting,LLB,0.0,11,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,40,hist_gradient_boosting,LOCAC,0.0,10,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,40,hist_gradient_boosting,RW,0.0,10,0.19275498978469274,0.2727272727272727
