model,all_120_available_60_macro_f1,all_120_available_120_macro_f1,all_120_available_macro_f1_gain_120_vs_60,strict_120_pre_protection_60_macro_f1,strict_120_pre_protection_120_macro_f1,strict_120_pre_protection_macro_f1_gain_120_vs_60
hist_gradient_boosting,0.19672324375294672,0.7525839962224402,0.5558607524694935,0.20155038759689925,0.5664983164983165,0.36494792890141725
logistic_regression,0.19672324375294672,0.711920631461331,0.5151973877083843,0.20155038759689925,0.6472222222222223,0.445671834625323
naive_majority,0.012722646310432571,0.012722646310432571,0.0,0.02727272727272727,0.02727272727272727,0.0
random_forest,0.19672324375294672,0.7488484378142246,0.5521251940612779,0.20155038759689925,0.5595029239766082,0.3579525363797089
