split_type,split_id,window_s,eval_split,model,calibration_folds,calibration_status,bin,bin_lower,bin_upper,count,mean_confidence,accuracy,ece,brier_score,log_loss
random,seed_20261930,120,test,random_forest,3,train_only_sigmoid_cv,3,0.3,0.4,1,0.390844828495229,0.0,0.0744406499176245,0.04096545202720946,0.13634356130679653
random,seed_20261930,120,test,random_forest,3,train_only_sigmoid_cv,4,0.4,0.5,0,,,0.0744406499176245,0.04096545202720946,0.13634356130679653
random,seed_20261930,120,test,random_forest,3,train_only_sigmoid_cv,5,0.5,0.6,1,0.5342081883873822,0.0,0.0744406499176245,0.04096545202720946,0.13634356130679653
random,seed_20261930,120,test,random_forest,3,train_only_sigmoid_cv,6,0.6,0.7,1,0.6117884680224146,1.0,0.0744406499176245,0.04096545202720946,0.13634356130679653
random,seed_20261930,120,test,random_forest,3,train_only_sigmoid_cv,7,0.7,0.8,2,0.7688720808578672,1.0,0.0744406499176245,0.04096545202720946,0.13634356130679653
random,seed_20261930,120,test,random_forest,3,train_only_sigmoid_cv,8,0.8,0.9,6,0.8588888176872659,1.0,0.0744406499176245,0.04096545202720946,0.13634356130679653
random,seed_20261930,120,test,random_forest,3,train_only_sigmoid_cv,9,0.9,1.0,90,0.9344853537704533,0.9888888888888889,0.0744406499176245,0.04096545202720946,0.13634356130679653
random,seed_20262939,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,0,0.0,0.1,0,,,0.12391502146162345,0.027782522540416382,0.1356915404654358
random,seed_20262939,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,1,0.1,0.2,0,,,0.12391502146162345,0.027782522540416382,0.1356915404654358
random,seed_20262939,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,2,0.2,0.3,0,,,0.12391502146162345,0.027782522540416382,0.1356915404654358
random,seed_20262939,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,3,0.3,0.4,0,,,0.12391502146162345,0.027782522540416382,0.1356915404654358
random,seed_20262939,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,4,0.4,0.5,1,0.452658456484154,1.0,0.12391502146162345,0.027782522540416382,0.1356915404654358
random,seed_20262939,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,5,0.5,0.6,0,,,0.12391502146162345,0.027782522540416382,0.1356915404654358
random,seed_20262939,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,6,0.6,0.7,3,0.6560755229978168,1.0,0.12391502146162345,0.027782522540416382,0.1356915404654358
random,seed_20262939,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,7,0.7,0.8,1,0.7848209448612046,1.0,0.12391502146162345,0.027782522540416382,0.1356915404654358
random,seed_20262939,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,8,0.8,0.9,56,0.875216278732572,1.0,0.12391502146162345,0.027782522540416382,0.1356915404654358
random,seed_20262939,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,9,0.9,1.0,40,0.9066691313253298,1.0,0.12391502146162345,0.027782522540416382,0.1356915404654358
random,seed_20262939,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,0,0.0,0.1,0,,,0.11301051272085291,0.0410531776950906,0.16385023193040518
random,seed_20262939,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,1,0.1,0.2,0,,,0.11301051272085291,0.0410531776950906,0.16385023193040518
random,seed_20262939,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,2,0.2,0.3,0,,,0.11301051272085291,0.0410531776950906,0.16385023193040518
random,seed_20262939,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,3,0.3,0.4,0,,,0.11301051272085291,0.0410531776950906,0.16385023193040518
random,seed_20262939,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,4,0.4,0.5,0,,,0.11301051272085291,0.0410531776950906,0.16385023193040518
random,seed_20262939,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,5,0.5,0.6,0,,,0.11301051272085291,0.0410531776950906,0.16385023193040518
random,seed_20262939,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,6,0.6,0.7,4,0.6548035840981029,1.0,0.11301051272085291,0.0410531776950906,0.16385023193040518
random,seed_20262939,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,7,0.7,0.8,4,0.787557512614974,1.0,0.11301051272085291,0.0410531776950906,0.16385023193040518
random,seed_20262939,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,8,0.8,0.9,49,0.8757189190665451,0.9795918367346939,0.11301051272085291,0.0410531776950906,0.16385023193040518
random,seed_20262939,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,9,0.9,1.0,44,0.9069606089563826,1.0,0.11301051272085291,0.0410531776950906,0.16385023193040518
random,seed_20263948,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,0,0.0,0.1,0,,,0.13174505140962664,0.032953741232046196,0.14588528992140673
random,seed_20263948,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,1,0.1,0.2,0,,,0.13174505140962664,0.032953741232046196,0.14588528992140673
random,seed_20263948,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,2,0.2,0.3,0,,,0.13174505140962664,0.032953741232046196,0.14588528992140673
