scope,window_s,model,input_group,test_macro_f1,test_macro_f1_observed_classes,test_balanced_accuracy,slbic_recall,delta_macro_f1_vs_A,delta_balanced_accuracy_vs_A,delta_slbic_recall_vs_A
all_sample,120,random_forest,C_without_SLBIC_initial,0.7393455138376163,0.7393455138376163,0.7765151515151515,1.0,-0.009502923976608346,-0.008333333333333304,0.0
all_sample,120,hist_gradient_boosting,C_without_SLBIC_initial,0.7538043827517512,0.7538043827517512,0.7931818181818181,0.9090909090909091,0.0012203865293110017,0.0007575757575757347,-0.09090909090909094
strict_pre_protection_only,10,naive_majority,A_strict_38,0.02054794520547945,0.030821917808219176,0.125,0.0,0.0,0.0,0.0
strict_pre_protection_only,10,logistic_regression,A_strict_38,0.1979602791196994,0.2969404186795491,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0
strict_pre_protection_only,10,random_forest,A_strict_38,0.19506172839506175,0.29259259259259257,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0
strict_pre_protection_only,10,hist_gradient_boosting,A_strict_38,0.19506172839506175,0.29259259259259257,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0
strict_pre_protection_only,10,naive_majority,B_without_potential_leakage,0.02054794520547945,0.030821917808219176,0.125,0.0,0.0,0.0,0.0
strict_pre_protection_only,10,logistic_regression,B_without_potential_leakage,0.19506172839506175,0.29259259259259257,0.3888888888888889,0.1111111111111111,-0.002898550724637655,0.0,0.0
strict_pre_protection_only,10,random_forest,B_without_potential_leakage,0.19506172839506175,0.29259259259259257,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0
strict_pre_protection_only,10,hist_gradient_boosting,B_without_potential_leakage,0.19506172839506175,0.29259259259259257,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0
strict_pre_protection_only,10,naive_majority,C_without_SLBIC_initial,0.02054794520547945,0.030821917808219176,0.125,0.0,0.0,0.0,0.0
strict_pre_protection_only,10,logistic_regression,C_without_SLBIC_initial,0.1979602791196994,0.2969404186795491,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0
strict_pre_protection_only,10,random_forest,C_without_SLBIC_initial,0.19506172839506175,0.29259259259259257,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0
strict_pre_protection_only,10,hist_gradient_boosting,C_without_SLBIC_initial,0.19506172839506175,0.29259259259259257,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0
strict_pre_protection_only,20,naive_majority,A_strict_38,0.02054794520547945,0.030821917808219176,0.125,0.0,0.0,0.0,0.0
strict_pre_protection_only,20,logistic_regression,A_strict_38,0.19506172839506175,0.29259259259259257,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0
strict_pre_protection_only,20,random_forest,A_strict_38,0.19506172839506175,0.29259259259259257,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0
strict_pre_protection_only,20,hist_gradient_boosting,A_strict_38,0.19506172839506175,0.29259259259259257,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0
strict_pre_protection_only,20,naive_majority,B_without_potential_leakage,0.02054794520547945,0.030821917808219176,0.125,0.0,0.0,0.0,0.0
strict_pre_protection_only,20,logistic_regression,B_without_potential_leakage,0.1979602791196994,0.2969404186795491,0.3888888888888889,0.1111111111111111,0.002898550724637655,0.0,0.0
strict_pre_protection_only,20,random_forest,B_without_potential_leakage,0.19506172839506175,0.29259259259259257,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0
strict_pre_protection_only,20,hist_gradient_boosting,B_without_potential_leakage,0.19506172839506175,0.29259259259259257,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0
strict_pre_protection_only,20,naive_majority,C_without_SLBIC_initial,0.02054794520547945,0.030821917808219176,0.125,0.0,0.0,0.0,0.0
strict_pre_protection_only,20,logistic_regression,C_without_SLBIC_initial,0.1979602791196994,0.2969404186795491,0.3888888888888889,0.1111111111111111,0.002898550724637655,0.0,0.0
strict_pre_protection_only,20,random_forest,C_without_SLBIC_initial,0.19506172839506175,0.29259259259259257,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0
strict_pre_protection_only,20,hist_gradient_boosting,C_without_SLBIC_initial,0.19506172839506175,0.29259259259259257,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0
strict_pre_protection_only,30,naive_majority,A_strict_38,0.02054794520547945,0.030821917808219176,0.125,0.0,0.0,0.0,0.0
strict_pre_protection_only,30,logistic_regression,A_strict_38,0.19506172839506175,0.29259259259259257,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0
strict_pre_protection_only,30,random_forest,A_strict_38,0.19506172839506175,0.29259259259259257,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0
strict_pre_protection_only,30,hist_gradient_boosting,A_strict_38,0.19506172839506175,0.29259259259259257,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0
strict_pre_protection_only,30,naive_majority,B_without_potential_leakage,0.02054794520547945,0.030821917808219176,0.125,0.0,0.0,0.0,0.0
strict_pre_protection_only,30,logistic_regression,B_without_potential_leakage,0.19506172839506175,0.29259259259259257,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0
strict_pre_protection_only,30,random_forest,B_without_potential_leakage,0.19506172839506175,0.29259259259259257,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0
strict_pre_protection_only,30,hist_gradient_boosting,B_without_potential_leakage,0.19506172839506175,0.29259259259259257,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0
strict_pre_protection_only,30,naive_majority,C_without_SLBIC_initial,0.02054794520547945,0.030821917808219176,0.125,0.0,0.0,0.0,0.0
strict_pre_protection_only,30,logistic_regression,C_without_SLBIC_initial,0.1979602791196994,0.2969404186795491,0.3888888888888889,0.1111111111111111,0.002898550724637655,0.0,0.0
strict_pre_protection_only,30,random_forest,C_without_SLBIC_initial,0.19506172839506175,0.29259259259259257,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0
strict_pre_protection_only,30,hist_gradient_boosting,C_without_SLBIC_initial,0.19506172839506175,0.29259259259259257,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0
strict_pre_protection_only,40,naive_majority,A_strict_38,0.02054794520547945,0.030821917808219176,0.125,0.0,0.0,0.0,0.0
strict_pre_protection_only,40,logistic_regression,A_strict_38,0.1979602791196994,0.2969404186795491,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0
