split_type,split_id,window_s,feature,severity_dependency_max_abs_spearman,class_signal_max_between_share,class_signal_train_median,removed,screening_rule
random,seed_20260921,60,RRCO,0.0,0.0,0.9968824765471385,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,P,0.5353384722975936,0.9616644349089504,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,TAVG,0.5393950909679599,0.987476570852876,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,THA,0.5393950909679599,0.9967528527079884,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,THB,0.5393950909679599,0.9967284568502421,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,TCA,0.5393950909679599,0.9987470500963745,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,TCB,0.5393950909679599,0.9987420231316786,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,WRCA,0.0,0.0,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,WRCB,0.0,0.0,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,PSGA,0.5393950909679599,0.998590289647657,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,PSGB,0.5393950909679599,0.9985906772360942,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,WFWA,0.5393950909679599,0.9999886972792441,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,WFWB,0.5393950909679599,0.9999889162550125,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,WSTA,0.5353384722975936,0.9999999999084991,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,WSTB,0.13351231050920398,0.9999999999582567,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,VOL,0.5353384722975936,0.8200605719446777,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,LVPZ,0.5353384722975936,0.8202201875011353,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,QMWT,0.5393950909679599,0.999999832333803,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,LSGA,0.42024513821337395,0.9999408625680954,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,LSGB,0.42024513821337395,0.9999409793543987,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,QMGA,0.5393950909679599,0.9999993480523082,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,QMGB,0.5393950909679599,0.9999993128114677,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,NSGA,0.5393950909679599,0.9998966607377159,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,NSGB,0.5393950909679599,0.9998973538529184,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,TSAT,0.5353384722975936,0.9482491166724426,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,LVCR,0.0,0.0,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,RHBR,0.0,0.0,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,RHMT,0.5393950909679599,0.9943070577460167,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,RHFL,0.5393950909679599,0.9944648071349734,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,RH,0.42024513821337395,0.999999615579035,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,PWNT,0.5393950909679599,0.9999884069430492,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,PWR,0.5393950909679599,0.9999872279093666,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,TFSB,0.5393950909679599,0.9999637102293105,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,TFPK,0.5393950909679599,0.9999631596008158,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,TF,0.5393950909679599,0.9999631596008158,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,PPM,0.0,0.0,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,RRCA,0.0,0.0,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,RRCB,0.0,0.0,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,90,RRCO,0.0,0.0,0.9986663501838864,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,P,0.21005400281136766,0.6696235846147032,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,TAVG,0.36096465245072623,0.8012487788937321,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,THA,0.12776018167857814,0.7939560566904316,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,THB,0.0728303197675933,0.7899468592278018,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,TCA,0.3998816844437682,0.9498455386048821,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,TCB,0.40123553207560414,0.9733107177624809,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,WRCA,0.4097034229757792,0.6807398731550972,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,WRCB,0.40970658200073024,0.74807194620879,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,PSGA,0.3525283427059596,0.961571385628599,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
