sample_id,status,family,estimate,historical_validation_mae,historical_test_mae,exploratory,feature,variable,statistic,contribution,abs_contribution,direction,global_model_importance
LOCAC_19,accepted,primary_coolant_boundary_break,12.950941798941805,0.9655100308641985,0.9724715909090943,True,QMGB__std,QMGB,std,-0.5664999999999996,0.5664999999999996,lowers_estimate,0.012182162745938356
LOCAC_19,accepted,primary_coolant_boundary_break,12.950941798941805,0.9655100308641985,0.9724715909090943,True,TCA__mean,TCA,mean,-0.5107777777777791,0.5107777777777791,lowers_estimate,0.009227263858899635
LOCAC_19,accepted,primary_coolant_boundary_break,12.950941798941805,0.9655100308641985,0.9724715909090943,True,WFWB__slope,WFWB,slope,-0.5040555555555546,0.5040555555555546,lowers_estimate,0.0048443839051287504
LOCAC_19,accepted,primary_coolant_boundary_break,12.950941798941805,0.9655100308641985,0.9724715909090943,True,QMGB__slope,QMGB,slope,-0.49674603174603327,0.49674603174603327,lowers_estimate,0.005943215488539718
LOCAC_19,accepted,primary_coolant_boundary_break,12.950941798941805,0.9655100308641985,0.9724715909090943,True,THA__mean,THA,mean,-0.4913253968253972,0.4913253968253972,lowers_estimate,0.009242139255192863
LOCAC_19,accepted,primary_coolant_boundary_break,12.950941798941805,0.9655100308641985,0.9724715909090943,True,PSGA__last,PSGA,last,-0.48499999999999943,0.48499999999999943,lowers_estimate,0.013200365435165638
LOCAC_19,accepted,primary_coolant_boundary_break,12.950941798941805,0.9655100308641985,0.9724715909090943,True,LSGA__delta_t0,LSGA,delta_t0,-0.4708333333333332,0.4708333333333332,lowers_estimate,0.02006256554572539
LOCAC_19,accepted,primary_coolant_boundary_break,12.950941798941805,0.9655100308641985,0.9724715909090943,True,TFPK__mean,TFPK,mean,-0.4628888888888891,0.4628888888888891,lowers_estimate,0.015392658674102604
LOCAC_19,accepted,primary_coolant_boundary_break,12.950941798941805,0.9655100308641985,0.9724715909090943,True,WFWA__slope,WFWA,slope,-0.44677777777777905,0.44677777777777905,lowers_estimate,0.009504943397152455
LOCAC_19,accepted,primary_coolant_boundary_break,12.950941798941805,0.9655100308641985,0.9724715909090943,True,LSGA__mean,LSGA,mean,-0.4465555555555554,0.4465555555555554,lowers_estimate,0.013537138000793467
LOCAC_20,accepted,primary_coolant_boundary_break,13.764812169312176,0.9655100308641985,0.9724715909090943,True,WFWB__slope,WFWB,slope,-0.5140555555555526,0.5140555555555526,lowers_estimate,0.0048443839051287504
LOCAC_20,accepted,primary_coolant_boundary_break,13.764812169312176,0.9655100308641985,0.9724715909090943,True,QMGB__slope,QMGB,slope,-0.4967460317460297,0.4967460317460297,lowers_estimate,0.005943215488539718
LOCAC_20,accepted,primary_coolant_boundary_break,13.764812169312176,0.9655100308641985,0.9724715909090943,True,TCA__mean,TCA,mean,-0.4942777777777785,0.4942777777777785,lowers_estimate,0.009227263858899635
LOCAC_20,accepted,primary_coolant_boundary_break,13.764812169312176,0.9655100308641985,0.9724715909090943,True,THA__mean,THA,mean,-0.49132539682539544,0.49132539682539544,lowers_estimate,0.009242139255192863
LOCAC_20,accepted,primary_coolant_boundary_break,13.764812169312176,0.9655100308641985,0.9724715909090943,True,PSGA__last,PSGA,last,-0.48499999999999943,0.48499999999999943,lowers_estimate,0.013200365435165638
LOCAC_20,accepted,primary_coolant_boundary_break,13.764812169312176,0.9655100308641985,0.9724715909090943,True,LSGA__delta_t0,LSGA,delta_t0,-0.4708333333333332,0.4708333333333332,lowers_estimate,0.02006256554572539
LOCAC_20,accepted,primary_coolant_boundary_break,13.764812169312176,0.9655100308641985,0.9724715909090943,True,QMGB__std,QMGB,std,-0.4649999999999963,0.4649999999999963,lowers_estimate,0.012182162745938356
LOCAC_20,accepted,primary_coolant_boundary_break,13.764812169312176,0.9655100308641985,0.9724715909090943,True,WFWA__slope,WFWA,slope,-0.44677777777777905,0.44677777777777905,lowers_estimate,0.009504943397152455
LOCAC_20,accepted,primary_coolant_boundary_break,13.764812169312176,0.9655100308641985,0.9724715909090943,True,LSGA__mean,LSGA,mean,-0.4465555555555536,0.4465555555555536,lowers_estimate,0.013537138000793467
LOCAC_20,accepted,primary_coolant_boundary_break,13.764812169312176,0.9655100308641985,0.9724715909090943,True,QMWT__slope,QMWT,slope,-0.43850793650793385,0.43850793650793385,lowers_estimate,0.007974357662803265
LOCAC_24,accepted,primary_coolant_boundary_break,17.315370370370363,0.9655100308641985,0.9724715909090943,True,THA__std,THA,std,0.6370000000000005,0.6370000000000005,raises_estimate,0.020488964915349857
LOCAC_24,accepted,primary_coolant_boundary_break,17.315370370370363,0.9655100308641985,0.9724715909090943,True,QMGB__slope,QMGB,slope,-0.5219999999999985,0.5219999999999985,lowers_estimate,0.005943215488539718
LOCAC_24,accepted,primary_coolant_boundary_break,17.315370370370363,0.9655100308641985,0.9724715909090943,True,QMWT__std,QMWT,std,0.4915555555555535,0.4915555555555535,raises_estimate,0.014883227886653347
LOCAC_24,accepted,primary_coolant_boundary_break,17.315370370370363,0.9655100308641985,0.9724715909090943,True,TCA__mean,TCA,mean,-0.46927777777777635,0.46927777777777635,lowers_estimate,0.009227263858899635
LOCAC_24,accepted,primary_coolant_boundary_break,17.315370370370363,0.9655100308641985,0.9724715909090943,True,WFWA__slope,WFWA,slope,-0.4585555555555558,0.4585555555555558,lowers_estimate,0.009504943397152455
LOCAC_24,accepted,primary_coolant_boundary_break,17.315370370370363,0.9655100308641985,0.9724715909090943,True,TCA__std,TCA,std,0.446111111111108,0.446111111111108,raises_estimate,0.009045997709904408
LOCAC_24,accepted,primary_coolant_boundary_break,17.315370370370363,0.9655100308641985,0.9724715909090943,True,TFPK__slope,TFPK,slope,-0.4402301587301558,0.4402301587301558,lowers_estimate,0.007698429463396752
LOCAC_24,accepted,primary_coolant_boundary_break,17.315370370370363,0.9655100308641985,0.9724715909090943,True,WFWB__slope,WFWB,slope,-0.4365555555555538,0.4365555555555538,lowers_estimate,0.0048443839051287504
LOCAC_24,accepted,primary_coolant_boundary_break,17.315370370370363,0.9655100308641985,0.9724715909090943,True,RH__mean,RH,mean,-0.42561111111110606,0.42561111111110606,lowers_estimate,0.0052505938488472395
LOCAC_24,accepted,primary_coolant_boundary_break,17.315370370370363,0.9655100308641985,0.9724715909090943,True,THA__mean,THA,mean,-0.4192222222222206,0.4192222222222206,lowers_estimate,0.009242139255192863
LOCAC_25,accepted,primary_coolant_boundary_break,17.56214814814814,0.9655100308641985,0.9724715909090943,True,THA__std,THA,std,0.6969999999999992,0.6969999999999992,raises_estimate,0.020488964915349857
LOCAC_25,accepted,primary_coolant_boundary_break,17.56214814814814,0.9655100308641985,0.9724715909090943,True,QMWT__std,QMWT,std,0.547666666666661,0.547666666666661,raises_estimate,0.014883227886653347
LOCAC_25,accepted,primary_coolant_boundary_break,17.56214814814814,0.9655100308641985,0.9724715909090943,True,QMGB__slope,QMGB,slope,-0.5219999999999949,0.5219999999999949,lowers_estimate,0.005943215488539718
LOCAC_25,accepted,primary_coolant_boundary_break,17.56214814814814,0.9655100308641985,0.9724715909090943,True,TCA__mean,TCA,mean,-0.46927777777777635,0.46927777777777635,lowers_estimate,0.009227263858899635
LOCAC_25,accepted,primary_coolant_boundary_break,17.56214814814814,0.9655100308641985,0.9724715909090943,True,WFWA__slope,WFWA,slope,-0.4585555555555523,0.4585555555555523,lowers_estimate,0.009504943397152455
LOCAC_25,accepted,primary_coolant_boundary_break,17.56214814814814,0.9655100308641985,0.9724715909090943,True,TCA__std,TCA,std,0.44611111111111157,0.44611111111111157,raises_estimate,0.009045997709904408
LOCAC_25,accepted,primary_coolant_boundary_break,17.56214814814814,0.9655100308641985,0.9724715909090943,True,TFPK__slope,TFPK,slope,-0.4402301587301558,0.4402301587301558,lowers_estimate,0.007698429463396752
LOCAC_25,accepted,primary_coolant_boundary_break,17.56214814814814,0.9655100308641985,0.9724715909090943,True,WFWB__slope,WFWB,slope,-0.4365555555555538,0.4365555555555538,lowers_estimate,0.0048443839051287504
LOCAC_25,accepted,primary_coolant_boundary_break,17.56214814814814,0.9655100308641985,0.9724715909090943,True,RH__mean,RH,mean,-0.4256111111111096,0.4256111111111096,lowers_estimate,0.0052505938488472395
LOCAC_25,accepted,primary_coolant_boundary_break,17.56214814814814,0.9655100308641985,0.9724715909090943,True,THA__mean,THA,mean,-0.4192222222222206,0.4192222222222206,lowers_estimate,0.009242139255192863
LOCAC_27,accepted,primary_coolant_boundary_break,18.39770370370369,0.9655100308641985,0.9724715909090943,True,THA__std,THA,std,0.7488888888888852,0.7488888888888852,raises_estimate,0.020488964915349857
LOCAC_27,accepted,primary_coolant_boundary_break,18.39770370370369,0.9655100308641985,0.9724715909090943,True,RHMT__std,RHMT,std,0.5941111111111077,0.5941111111111077,raises_estimate,0.016774328398328833
LOCAC_27,accepted,primary_coolant_boundary_break,18.39770370370369,0.9655100308641985,0.9724715909090943,True,QMWT__std,QMWT,std,0.547666666666661,0.547666666666661,raises_estimate,0.014883227886653347
LOCAC_27,accepted,primary_coolant_boundary_break,18.39770370370369,0.9655100308641985,0.9724715909090943,True,QMGB__slope,QMGB,slope,-0.5220000000000056,0.5220000000000056,lowers_estimate,0.005943215488539718
LOCAC_27,accepted,primary_coolant_boundary_break,18.39770370370369,0.9655100308641985,0.9724715909090943,True,TCA__std,TCA,std,0.48666666666666103,0.48666666666666103,raises_estimate,0.009045997709904408
LOCAC_27,accepted,primary_coolant_boundary_break,18.39770370370369,0.9655100308641985,0.9724715909090943,True,WFWA__slope,WFWA,slope,-0.45855555555556293,0.45855555555556293,lowers_estimate,0.009504943397152455
LOCAC_27,accepted,primary_coolant_boundary_break,18.39770370370369,0.9655100308641985,0.9724715909090943,True,TFPK__slope,TFPK,slope,-0.4402301587301629,0.4402301587301629,lowers_estimate,0.007698429463396752
LOCAC_27,accepted,primary_coolant_boundary_break,18.39770370370369,0.9655100308641985,0.9724715909090943,True,PWNT__std,PWNT,std,0.42755555555555347,0.42755555555555347,raises_estimate,0.013801026484179463
LOCAC_27,accepted,primary_coolant_boundary_break,18.39770370370369,0.9655100308641985,0.9724715909090943,True,TCA__mean,TCA,mean,-0.42677777777778303,0.42677777777778303,lowers_estimate,0.009227263858899635
LOCAC_27,accepted,primary_coolant_boundary_break,18.39770370370369,0.9655100308641985,0.9724715909090943,True,RH__mean,RH,mean,-0.4256111111111167,0.4256111111111167,lowers_estimate,0.0052505938488472395
LOCAC_31,accepted,primary_coolant_boundary_break,19.77206878306878,0.9655100308641985,0.9724715909090943,True,THA__std,THA,std,0.8172222222222238,0.8172222222222238,raises_estimate,0.020488964915349857
