split_type,split_id,seed,window_s,input_group,model,eval_split,n_train,n_validation,n_test,n_features,fit_status,accuracy,macro_f1_fixed_12,macro_f1_observed_classes,balanced_accuracy,n_classes_eval,minimum_test_support,selected_for_test
random,seed_20260921,20260921.0,90,C_without_SLBIC_initial,hist_gradient_boosting,validation,303,101,101,120,fitted,0.43564356435643564,0.21857478748417436,0.32786218122626154,0.3897058823529412,8,6,False
random,seed_20260921,20260921.0,90,C_without_SLBIC_initial,hist_gradient_boosting,test,303,101,101,120,fitted,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,True
random,seed_20260921,20260921.0,120,A_strict_38,logistic_regression,validation,303,101,101,190,fitted,0.9603960396039604,0.6469638242894057,0.9704457364341086,0.9677083333333334,8,6,False
random,seed_20260921,20260921.0,120,A_strict_38,logistic_regression,test,303,101,101,190,fitted,0.9900990099009901,0.6619459742984527,0.992918961447679,0.9921875,8,5,False
random,seed_20260921,20260921.0,120,A_strict_38,random_forest,validation,303,101,101,190,fitted,0.9900990099009901,0.6615975422427035,0.9923963133640553,0.9921875,8,6,False
random,seed_20260921,20260921.0,120,A_strict_38,random_forest,test,303,101,101,190,fitted,1.0,0.6666666666666666,1.0,1.0,8,5,False
random,seed_20260921,20260921.0,120,A_strict_38,hist_gradient_boosting,validation,303,101,101,190,fitted,0.9900990099009901,0.6615975422427035,0.9923963133640553,0.9921875,8,6,False
random,seed_20260921,20260921.0,120,A_strict_38,hist_gradient_boosting,test,303,101,101,190,fitted,1.0,0.6666666666666666,1.0,1.0,8,5,True
random,seed_20260921,20260921.0,120,B_without_potential_leakage,logistic_regression,validation,303,101,101,185,fitted,0.9603960396039604,0.6469638242894057,0.9704457364341086,0.9677083333333334,8,6,False
random,seed_20260921,20260921.0,120,B_without_potential_leakage,logistic_regression,test,303,101,101,185,fitted,0.9900990099009901,0.6619459742984527,0.992918961447679,0.9921875,8,5,False
random,seed_20260921,20260921.0,120,B_without_potential_leakage,random_forest,validation,303,101,101,185,fitted,0.9900990099009901,0.6615975422427035,0.9923963133640553,0.9921875,8,6,False
random,seed_20260921,20260921.0,120,B_without_potential_leakage,random_forest,test,303,101,101,185,fitted,1.0,0.6666666666666666,1.0,1.0,8,5,False
random,seed_20260921,20260921.0,120,B_without_potential_leakage,hist_gradient_boosting,validation,303,101,101,185,fitted,0.9900990099009901,0.6615975422427035,0.9923963133640553,0.9921875,8,6,False
random,seed_20260921,20260921.0,120,B_without_potential_leakage,hist_gradient_boosting,test,303,101,101,185,fitted,1.0,0.6666666666666666,1.0,1.0,8,5,True
random,seed_20260921,20260921.0,120,C_without_SLBIC_initial,logistic_regression,validation,303,101,101,120,fitted,0.9603960396039604,0.6469638242894057,0.9704457364341086,0.9677083333333334,8,6,False
random,seed_20260921,20260921.0,120,C_without_SLBIC_initial,logistic_regression,test,303,101,101,120,fitted,0.9801980198019802,0.6576292882744496,0.9864439324116744,0.9852430555555556,8,5,False
random,seed_20260921,20260921.0,120,C_without_SLBIC_initial,random_forest,validation,303,101,101,120,fitted,0.9801980198019802,0.6564753017756355,0.9847129526634533,0.9838541666666667,8,6,False
random,seed_20260921,20260921.0,120,C_without_SLBIC_initial,random_forest,test,303,101,101,120,fitted,1.0,0.6666666666666666,1.0,1.0,8,5,False
random,seed_20260921,20260921.0,120,C_without_SLBIC_initial,hist_gradient_boosting,validation,303,101,101,120,fitted,0.9900990099009901,0.6615975422427035,0.9923963133640553,0.9921875,8,6,False
