split_type,window_s,input_group,accuracy_n,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,macro_f1_fixed_12_n,macro_f1_fixed_12_mean,macro_f1_fixed_12_std,macro_f1_fixed_12_ci95_low,macro_f1_fixed_12_ci95_high,macro_f1_observed_classes_n,macro_f1_observed_classes_mean,macro_f1_observed_classes_std,macro_f1_observed_classes_ci95_low,macro_f1_observed_classes_ci95_high,balanced_accuracy_n,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,selected_model_counts
random,30,A_strict_38,10,0.44257425742574263,0.012392728287471027,0.4348931648545894,0.45025534999689587,10,0.22255102035642788,0.00918080902666736,0.2168606959681166,0.22824134474473914,10,0.33382653053464184,0.013771213540001036,0.32529104395217495,0.34236201711710873,10,0.3937500000000001,0.008692121923851208,0.38836256701606625,0.39913743298393395,hist_gradient_boosting=10
random,30,B_without_potential_leakage,10,0.44257425742574263,0.012392728287471027,0.4348931648545894,0.45025534999689587,10,0.22255102035642788,0.00918080902666736,0.2168606959681166,0.22824134474473914,10,0.33382653053464184,0.013771213540001036,0.32529104395217495,0.34236201711710873,10,0.3937500000000001,0.008692121923851208,0.38836256701606625,0.39913743298393395,hist_gradient_boosting=10
random,30,C_without_SLBIC_initial,10,0.44257425742574263,0.012392728287471027,0.4348931648545894,0.45025534999689587,10,0.22255102035642788,0.00918080902666736,0.2168606959681166,0.22824134474473914,10,0.33382653053464184,0.013771213540001036,0.32529104395217495,0.34236201711710873,10,0.3937500000000001,0.008692121923851208,0.38836256701606625,0.39913743298393395,hist_gradient_boosting=10
random,60,A_strict_38,10,0.44257425742574263,0.012392728287471027,0.4348931648545894,0.45025534999689587,10,0.22255102035642788,0.00918080902666736,0.2168606959681166,0.22824134474473914,10,0.33382653053464184,0.013771213540001036,0.32529104395217495,0.34236201711710873,10,0.3937500000000001,0.008692121923851208,0.38836256701606625,0.39913743298393395,hist_gradient_boosting=10
random,60,B_without_potential_leakage,10,0.44257425742574263,0.012392728287471027,0.4348931648545894,0.45025534999689587,10,0.22255102035642788,0.00918080902666736,0.2168606959681166,0.22824134474473914,10,0.33382653053464184,0.013771213540001036,0.32529104395217495,0.34236201711710873,10,0.3937500000000001,0.008692121923851208,0.38836256701606625,0.39913743298393395,hist_gradient_boosting=10
random,60,C_without_SLBIC_initial,10,0.44257425742574263,0.012392728287471027,0.4348931648545894,0.45025534999689587,10,0.22255102035642788,0.00918080902666736,0.2168606959681166,0.22824134474473914,10,0.33382653053464184,0.013771213540001036,0.32529104395217495,0.34236201711710873,10,0.3937500000000001,0.008692121923851208,0.38836256701606625,0.39913743298393395,hist_gradient_boosting=10
random,90,A_strict_38,10,0.44257425742574263,0.012392728287471027,0.4348931648545894,0.45025534999689587,10,0.22255102035642788,0.00918080902666736,0.2168606959681166,0.22824134474473914,10,0.33382653053464184,0.013771213540001036,0.32529104395217495,0.34236201711710873,10,0.3937500000000001,0.008692121923851208,0.38836256701606625,0.39913743298393395,hist_gradient_boosting=10
random,90,B_without_potential_leakage,10,0.44257425742574263,0.012392728287471027,0.4348931648545894,0.45025534999689587,10,0.22255102035642788,0.00918080902666736,0.2168606959681166,0.22824134474473914,10,0.33382653053464184,0.013771213540001036,0.32529104395217495,0.34236201711710873,10,0.3937500000000001,0.008692121923851208,0.38836256701606625,0.39913743298393395,hist_gradient_boosting=10
random,90,C_without_SLBIC_initial,10,0.44257425742574263,0.012392728287471027,0.4348931648545894,0.45025534999689587,10,0.22255102035642788,0.00918080902666736,0.2168606959681166,0.22824134474473914,10,0.33382653053464184,0.013771213540001036,0.32529104395217495,0.34236201711710873,10,0.3937500000000001,0.008692121923851208,0.38836256701606625,0.39913743298393395,hist_gradient_boosting=10
random,120,A_strict_38,10,0.9831683168316833,0.017494862416763807,0.9723248887643859,0.9940117448989806,10,0.6572514731014946,0.009479309782906255,0.6513761360276757,0.6631268101753134,10,0.985877209652242,0.014218964674359406,0.9770642040415138,0.9946902152629702,10,0.9838963293650795,0.016421240020067392,0.973718339353406,0.9940743193767531,hist_gradient_boosting=6;logistic_regression=2;random_forest=2
random,120,B_without_potential_leakage,10,0.9831683168316833,0.017494862416763807,0.9723248887643859,0.9940117448989806,10,0.6572514731014946,0.009479309782906255,0.6513761360276757,0.6631268101753134,10,0.985877209652242,0.014218964674359406,0.9770642040415138,0.9946902152629702,10,0.9838963293650795,0.016421240020067392,0.973718339353406,0.9940743193767531,hist_gradient_boosting=6;logistic_regression=2;random_forest=2
random,120,C_without_SLBIC_initial,10,0.9891089108910892,0.009845830950611426,0.9830064016439503,0.9952114201382282,10,0.6594041438318253,0.007110056037687965,0.6549972854432022,0.6638110022204484,10,0.989106215747738,0.010665084056531965,0.9824959281648034,0.9957165033306727,10,0.987562003968254,0.012961060788405646,0.9795286552635352,0.9955953526729728,hist_gradient_boosting=7;random_forest=3
severity_blocked,30,A_strict_38,3,0.4174757281553398,0.0,0.4174757281553398,0.4174757281553398,3,0.18869463869463868,0.019581460178808987,0.16653613053613053,0.21085314685314682,3,0.28304195804195803,0.02937219026821348,0.2498041958041958,0.3162797202797203,3,0.375,0.0,0.375,0.375,hist_gradient_boosting=3
severity_blocked,30,B_without_potential_leakage,3,0.4174757281553398,0.0,0.4174757281553398,0.4174757281553398,3,0.18869463869463868,0.019581460178808987,0.16653613053613053,0.21085314685314682,3,0.28304195804195803,0.02937219026821348,0.2498041958041958,0.3162797202797203,3,0.375,0.0,0.375,0.375,hist_gradient_boosting=3
severity_blocked,30,C_without_SLBIC_initial,3,0.4174757281553398,0.0,0.4174757281553398,0.4174757281553398,3,0.18869463869463868,0.019581460178808987,0.16653613053613053,0.21085314685314682,3,0.28304195804195803,0.02937219026821348,0.2498041958041958,0.3162797202797203,3,0.375,0.0,0.375,0.375,hist_gradient_boosting=3
severity_blocked,60,A_strict_38,3,0.4174757281553398,0.0,0.4174757281553398,0.4174757281553398,3,0.18869463869463868,0.019581460178808987,0.16653613053613053,0.21085314685314682,3,0.28304195804195803,0.02937219026821348,0.2498041958041958,0.3162797202797203,3,0.375,0.0,0.375,0.375,hist_gradient_boosting=3
severity_blocked,60,B_without_potential_leakage,3,0.4174757281553398,0.0,0.4174757281553398,0.4174757281553398,3,0.18869463869463868,0.019581460178808987,0.16653613053613053,0.21085314685314682,3,0.28304195804195803,0.02937219026821348,0.2498041958041958,0.3162797202797203,3,0.375,0.0,0.375,0.375,hist_gradient_boosting=3
severity_blocked,60,C_without_SLBIC_initial,3,0.4174757281553398,0.0,0.4174757281553398,0.4174757281553398,3,0.18869463869463868,0.019581460178808987,0.16653613053613053,0.21085314685314682,3,0.28304195804195803,0.02937219026821348,0.2498041958041958,0.3162797202797203,3,0.375,0.0,0.375,0.375,hist_gradient_boosting=3
severity_blocked,90,A_strict_38,3,0.4174757281553398,0.0,0.4174757281553398,0.4174757281553398,3,0.18869463869463868,0.019581460178808987,0.16653613053613053,0.21085314685314682,3,0.28304195804195803,0.02937219026821348,0.2498041958041958,0.3162797202797203,3,0.375,0.0,0.375,0.375,hist_gradient_boosting=3
severity_blocked,90,B_without_potential_leakage,3,0.4174757281553398,0.0,0.4174757281553398,0.4174757281553398,3,0.18869463869463868,0.019581460178808987,0.16653613053613053,0.21085314685314682,3,0.28304195804195803,0.02937219026821348,0.2498041958041958,0.3162797202797203,3,0.375,0.0,0.375,0.375,hist_gradient_boosting=3
severity_blocked,90,C_without_SLBIC_initial,3,0.4174757281553398,0.0,0.4174757281553398,0.4174757281553398,3,0.18869463869463868,0.019581460178808987,0.16653613053613053,0.21085314685314682,3,0.28304195804195803,0.02937219026821348,0.2498041958041958,0.3162797202797203,3,0.375,0.0,0.375,0.375,hist_gradient_boosting=3
severity_blocked,120,A_strict_38,3,0.9255663430420712,0.07787190560204511,0.8374459863452375,1.013686699738905,3,0.5931285851575706,0.06381642630135483,0.5209135005861086,0.6653436697290326,3,0.8896928777363561,0.09572463945203234,0.781370250879163,0.9980155045935492,3,0.9212962962962963,0.06851226197661456,0.8437673734221187,0.9988252191704738,hist_gradient_boosting=1;random_forest=2
severity_blocked,120,B_without_potential_leakage,3,0.9255663430420712,0.07787190560204511,0.8374459863452375,1.013686699738905,3,0.593405489896718,0.06360512029607143,0.5214295205801583,0.6653814592132777,3,0.890108234845077,0.09540768044410729,0.7821442808702372,0.9980721888199167,3,0.9212962962962963,0.06851226197661456,0.8437673734221187,0.9988252191704738,hist_gradient_boosting=1;random_forest=2
severity_blocked,120,C_without_SLBIC_initial,3,0.8737864077669903,0.15624734892651534,0.6969758877997279,1.0505969277342528,3,0.5704765916317919,0.08972043771703372,0.4689483586510205,0.6720048246125632,3,0.855714887447688,0.1345806565755506,0.703422537976531,1.008007236918845,3,0.8752893518518517,0.11560575172062124,0.7444691285753431,1.0061095751283604,hist_gradient_boosting=2;logistic_regression=1
severity_extrapolation,30,A_strict_38,2,0.4174757281553398,0.0,0.4174757281553398,0.4174757281553398,2,0.18304195804195802,0.023982292928354933,0.1498041958041958,0.21627972027972026,2,0.27456293706293705,0.0359734393925324,0.2247062937062937,0.3244195804195804,2,0.375,0.0,0.375,0.375,hist_gradient_boosting=2
severity_extrapolation,30,B_without_potential_leakage,2,0.4174757281553398,0.0,0.4174757281553398,0.4174757281553398,2,0.18304195804195802,0.023982292928354933,0.1498041958041958,0.21627972027972026,2,0.27456293706293705,0.0359734393925324,0.2247062937062937,0.3244195804195804,2,0.375,0.0,0.375,0.375,hist_gradient_boosting=2
severity_extrapolation,30,C_without_SLBIC_initial,2,0.4174757281553398,0.0,0.4174757281553398,0.4174757281553398,2,0.18304195804195802,0.023982292928354933,0.1498041958041958,0.21627972027972026,2,0.27456293706293705,0.0359734393925324,0.2247062937062937,0.3244195804195804,2,0.375,0.0,0.375,0.375,hist_gradient_boosting=2
severity_extrapolation,60,A_strict_38,2,0.4174757281553398,0.0,0.4174757281553398,0.4174757281553398,2,0.18304195804195802,0.023982292928354933,0.1498041958041958,0.21627972027972026,2,0.27456293706293705,0.0359734393925324,0.2247062937062937,0.3244195804195804,2,0.375,0.0,0.375,0.375,hist_gradient_boosting=2
severity_extrapolation,60,B_without_potential_leakage,2,0.4174757281553398,0.0,0.4174757281553398,0.4174757281553398,2,0.18304195804195802,0.023982292928354933,0.1498041958041958,0.21627972027972026,2,0.27456293706293705,0.0359734393925324,0.2247062937062937,0.3244195804195804,2,0.375,0.0,0.375,0.375,hist_gradient_boosting=2
severity_extrapolation,60,C_without_SLBIC_initial,2,0.4174757281553398,0.0,0.4174757281553398,0.4174757281553398,2,0.18304195804195802,0.023982292928354933,0.1498041958041958,0.21627972027972026,2,0.27456293706293705,0.0359734393925324,0.2247062937062937,0.3244195804195804,2,0.375,0.0,0.375,0.375,hist_gradient_boosting=2
severity_extrapolation,90,A_strict_38,2,0.4174757281553398,0.0,0.4174757281553398,0.4174757281553398,2,0.18304195804195802,0.023982292928354933,0.1498041958041958,0.21627972027972026,2,0.27456293706293705,0.0359734393925324,0.2247062937062937,0.3244195804195804,2,0.375,0.0,0.375,0.375,hist_gradient_boosting=2
severity_extrapolation,90,B_without_potential_leakage,2,0.4174757281553398,0.0,0.4174757281553398,0.4174757281553398,2,0.18304195804195802,0.023982292928354933,0.1498041958041958,0.21627972027972026,2,0.27456293706293705,0.0359734393925324,0.2247062937062937,0.3244195804195804,2,0.375,0.0,0.375,0.375,hist_gradient_boosting=2
severity_extrapolation,90,C_without_SLBIC_initial,2,0.4174757281553398,0.0,0.4174757281553398,0.4174757281553398,2,0.18304195804195802,0.023982292928354933,0.1498041958041958,0.21627972027972026,2,0.27456293706293705,0.0359734393925324,0.2247062937062937,0.3244195804195804,2,0.375,0.0,0.375,0.375,hist_gradient_boosting=2
severity_extrapolation,120,A_strict_38,2,0.8009708737864079,0.1853580882722018,0.5440776699029126,1.057864077669903,2,0.48258843494350745,0.11009857867958563,0.32999958984016964,0.6351772800468453,2,0.7238826524152611,0.1651478680193784,0.4949993847602544,0.9527659200702677,2,0.8125,0.08838834764831845,0.6900000000000001,0.9349999999999999,hist_gradient_boosting=1;random_forest=1
severity_extrapolation,120,B_without_potential_leakage,2,0.8009708737864079,0.1853580882722018,0.5440776699029126,1.057864077669903,2,0.48300379205222843,0.11068598233596692,0.32960084701579745,0.6364067370886595,2,0.7245056880783425,0.16602897350395024,0.4944012705236962,0.9546101056329888,2,0.8125,0.08838834764831845,0.6900000000000001,0.9349999999999999,hist_gradient_boosting=1;random_forest=1
severity_extrapolation,120,C_without_SLBIC_initial,2,0.7669902912621359,0.21968366017446142,0.46252427184466016,1.0714563106796118,2,0.4802704041055054,0.10667865506853479,0.3324213313081351,0.6281194769028757,2,0.7204056061582582,0.16001798260280223,0.4986319969622026,0.9421792153543138,2,0.7786458333333334,0.10680258674171818,0.630625,0.9266666666666667,hist_gradient_boosting=1;logistic_regression=1
