input_group,fixed_mean,fixed_std,observed_mean,observed_std,balanced_accuracy_mean,balanced_accuracy_std,delta_fixed_mean,delta_observed_mean
A_strict_38,0.5783593402536538,0.0042472588483636,0.9914731547205493,0.007281015168623293,0.9888095238095239,0.010949792654825598,0.0,0.0
B_without_potential_leakage,0.5783593402536538,0.0042472588483636,0.9914731547205493,0.007281015168623293,0.9888095238095239,0.010949792654825598,0.0,0.0
C_without_SLBIC_initial,0.5783905759556212,0.004465092617265361,0.9915267016382077,0.0076544444867406546,0.9883333333333333,0.011422782925613315,3.1235701967413655e-05,5.354691765839803e-05
