split_type,split_id,window_s,input_group,true_class,predicted_class,count,support
random,seed_20260921,60,B_relative_change,LR,FLB,5,5
random,seed_20260921,60,B_relative_change,LR,LLB,0,5
random,seed_20260921,60,B_relative_change,LR,LOCA,0,5
random,seed_20260921,60,B_relative_change,LR,LOCAC,0,5
random,seed_20260921,60,B_relative_change,LR,LR,0,5
random,seed_20260921,60,B_relative_change,LR,MD,0,5
random,seed_20260921,60,B_relative_change,LR,RI,0,5
random,seed_20260921,60,B_relative_change,LR,RW,0,5
random,seed_20260921,60,B_relative_change,LR,SGATR,0,5
random,seed_20260921,60,B_relative_change,LR,SGBTR,0,5
random,seed_20260921,60,B_relative_change,LR,SLBIC,0,5
