split_type,split_id,window_s,feature_group,analysis_scope,eval_split,alpha,calibration_n,probability_cutoff,empirical_set_coverage,average_prediction_set_size,single_label_rate,ambiguous_multi_label_rate,empty_unknown_rate,coverage,selective_accuracy,selective_macro_f1,selective_balanced_accuracy,risk,reject_rate,selected_model,calibration_status
random,seed_20260921,120,A_strict_38,main,test,0.05,101,0.7963553496261977,0.9504950495049505,0.9504950495049505,0.9504950495049505,0.0,0.04950495049504951,0.9504950495049505,1.0,0.8571428571428571,1.0,0.0,0.04950495049504955,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20260921,120,A_strict_38,main,test,0.1,101,0.8354592210678161,0.8613861386138614,0.8613861386138614,0.8613861386138614,0.0,0.13861386138613863,0.8613861386138614,1.0,0.8571428571428571,1.0,0.0,0.13861386138613863,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20260921,120,A_strict_38,main,test,0.2,101,0.8930583456515205,0.8118811881188119,0.8118811881188119,0.8118811881188119,0.0,0.18811881188118812,0.8118811881188119,1.0,0.7142857142857143,1.0,0.0,0.18811881188118806,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20260921,60,A_strict_38,control,test,0.05,101,0.07717484579702982,1.0,4.5049504950495045,0.0,1.0,0.0,0.0,,,,,1.0,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20260921,60,A_strict_38,control,test,0.1,101,0.18250836403016413,0.9504950495049505,3.257425742574257,0.24752475247524752,0.7524752475247525,0.0,0.24752475247524752,1.0,0.42857142857142855,1.0,0.0,0.7524752475247525,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20260921,60,A_strict_38,control,test,0.2,101,0.18250836403016413,0.9504950495049505,3.257425742574257,0.24752475247524752,0.7524752475247525,0.0,0.24752475247524752,1.0,0.42857142857142855,1.0,0.0,0.7524752475247525,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20260921,90,A_strict_38,control,test,0.05,101,0.07717484579702982,1.0,4.5049504950495045,0.0,1.0,0.0,0.0,,,,,1.0,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20260921,90,A_strict_38,control,test,0.1,101,0.18250836403016413,0.9504950495049505,3.257425742574257,0.24752475247524752,0.7524752475247525,0.0,0.24752475247524752,1.0,0.42857142857142855,1.0,0.0,0.7524752475247525,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20260921,90,A_strict_38,control,test,0.2,101,0.18250836403016413,0.9504950495049505,3.257425742574257,0.24752475247524752,0.7524752475247525,0.0,0.24752475247524752,1.0,0.42857142857142855,1.0,0.0,0.7524752475247525,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20261930,120,A_strict_38,main,test,0.05,101,0.8530933731330759,0.9207920792079208,0.9306930693069307,0.9306930693069307,0.0,0.06930693069306931,0.9306930693069307,0.9893617021276596,0.850480732833674,0.9935897435897436,0.010638297872340385,0.06930693069306926,random_forest,train_only_sigmoid_cv
