split_type,split_id,window_s,evaluation_scope,model,selected_for_test,accuracy,macro_f1,macro_f1_observed,balanced_accuracy,n_classes_eval,minimum_support,eligible_families
random,seed_20263948,60,two_stage_end_to_end,family_then_subtype,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20263948,90,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,
random,seed_20263948,90,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,
random,seed_20263948,90,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,
random,seed_20263948,90,two_stage_end_to_end,family_then_subtype,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20263948,120,family_model,hist_gradient_boosting,True,0.9900990099009901,0.850939932907146,0.9927632550583371,0.9946236559139785,6,5,
random,seed_20263948,120,fine_grained_12_class,hist_gradient_boosting,True,0.9900990099009901,0.6617262423714037,0.9925893635571055,0.9921875,8,5,
random,seed_20263948,120,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.9900990099009901,0.850939932907146,0.9927632550583371,0.9946236559139785,6,5,
random,seed_20263948,120,two_stage_end_to_end,family_then_subtype,True,0.9900990099009901,0.6617262423714037,0.9925893635571055,0.9921875,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20264957,60,family_model,hist_gradient_boosting,True,0.43564356435643564,0.323506435294871,0.37742417451068283,0.4324970131421744,6,5,
random,seed_20264957,60,fine_grained_12_class,hist_gradient_boosting,True,0.43564356435643564,0.21769759450171822,0.32654639175257727,0.3888888888888889,8,5,
random,seed_20264957,60,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.43564356435643564,0.323506435294871,0.37742417451068283,0.4324970131421744,6,5,
random,seed_20264957,60,two_stage_end_to_end,family_then_subtype,True,0.43564356435643564,0.21769759450171822,0.32654639175257727,0.3888888888888889,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20264957,90,family_model,hist_gradient_boosting,True,0.43564356435643564,0.323506435294871,0.37742417451068283,0.4324970131421744,6,5,
random,seed_20264957,90,fine_grained_12_class,hist_gradient_boosting,True,0.43564356435643564,0.21769759450171822,0.32654639175257727,0.3888888888888889,8,5,
random,seed_20264957,90,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.43564356435643564,0.323506435294871,0.37742417451068283,0.4324970131421744,6,5,
random,seed_20264957,90,two_stage_end_to_end,family_then_subtype,True,0.43564356435643564,0.21769759450171822,0.32654639175257727,0.3888888888888889,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20264957,120,family_model,hist_gradient_boosting,True,1.0,0.8571428571428571,1.0,1.0,6,5,
random,seed_20264957,120,fine_grained_12_class,hist_gradient_boosting,True,0.9900990099009901,0.658004158004158,0.987006237006237,0.9821428571428572,8,5,
random,seed_20264957,120,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.9900990099009901,0.8422928422928423,0.9826749826749827,0.9761904761904763,6,5,
random,seed_20264957,120,two_stage_end_to_end,family_then_subtype,True,1.0,0.6666666666666666,1.0,1.0,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20265966,60,family_model,hist_gradient_boosting,True,0.45544554455445546,0.3481232726083984,0.40614381804313154,0.45101553166069297,6,5,
random,seed_20265966,60,fine_grained_12_class,hist_gradient_boosting,True,0.45544554455445546,0.2320574162679426,0.3480861244019139,0.4027777777777778,8,5,
random,seed_20265966,60,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.45544554455445546,0.3481232726083984,0.40614381804313154,0.45101553166069297,6,5,
random,seed_20265966,60,two_stage_end_to_end,family_then_subtype,True,0.45544554455445546,0.2320574162679426,0.3480861244019139,0.4027777777777778,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20265966,90,family_model,hist_gradient_boosting,True,0.45544554455445546,0.3481232726083984,0.40614381804313154,0.45101553166069297,6,5,
random,seed_20265966,90,fine_grained_12_class,hist_gradient_boosting,True,0.45544554455445546,0.2320574162679426,0.3480861244019139,0.4027777777777778,8,5,
random,seed_20265966,90,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.45544554455445546,0.3481232726083984,0.40614381804313154,0.45101553166069297,6,5,
random,seed_20265966,90,two_stage_end_to_end,family_then_subtype,True,0.45544554455445546,0.2320574162679426,0.3480861244019139,0.4027777777777778,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20265966,120,family_model,hist_gradient_boosting,True,1.0,0.8571428571428571,1.0,1.0,6,5,
random,seed_20265966,120,fine_grained_12_class,random_forest,True,1.0,0.6666666666666666,1.0,1.0,8,5,
random,seed_20265966,120,fine_predictions_mapped_to_family,random_forest,True,1.0,0.8571428571428571,1.0,1.0,6,5,
random,seed_20265966,120,two_stage_end_to_end,family_then_subtype,True,1.0,0.6666666666666666,1.0,1.0,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20266975,60,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,
random,seed_20266975,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,
random,seed_20266975,60,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,
random,seed_20266975,60,two_stage_end_to_end,family_then_subtype,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20266975,90,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,
random,seed_20266975,90,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,
random,seed_20266975,90,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,
random,seed_20266975,90,two_stage_end_to_end,family_then_subtype,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20266975,120,family_model,hist_gradient_boosting,True,0.9900990099009901,0.8507936507936508,0.9925925925925926,0.9907407407407408,6,5,
random,seed_20266975,120,fine_grained_12_class,hist_gradient_boosting,True,0.9801980198019802,0.6546914160401003,0.9820371240601504,0.9852430555555556,8,5,
random,seed_20266975,120,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.9801980198019802,0.8449686090014291,0.9857967105016673,0.9853643966547193,6,5,
random,seed_20266975,120,two_stage_end_to_end,family_then_subtype,True,0.9900990099009901,0.6617604617604618,0.9926406926406927,0.9930555555555556,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20267984,60,family_model,hist_gradient_boosting,True,0.43564356435643564,0.323506435294871,0.37742417451068283,0.4324970131421744,6,5,
random,seed_20267984,60,fine_grained_12_class,hist_gradient_boosting,True,0.43564356435643564,0.21769759450171822,0.32654639175257727,0.3888888888888889,8,5,
random,seed_20267984,60,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.43564356435643564,0.323506435294871,0.37742417451068283,0.4324970131421744,6,5,
