split_type,split_id,window_s,feature_group,analysis_scope,mechanism,eval_split,target_coverage,threshold,secondary_threshold,validation_coverage,selected_model,calibration_status,n_total,n_accepted,n_rejected,coverage,selective_accuracy,selective_macro_f1,selective_balanced_accuracy,risk,reject_rate
random,seed_20261930,60,A_strict_38,control,margin,test,0.7,0.0042116111104651965,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.42574257425742573,0.3093714766063339,0.4232377538829151,0.5742574257425743,0.0
random,seed_20261930,60,A_strict_38,control,distance,test,0.7,0.9999999999999978,,0.8415841584158416,hist_gradient_boosting,train_only_sigmoid_cv,101,85,16,0.8415841584158416,0.3176470588235294,0.20116618075801748,0.3333333333333333,0.6823529411764706,0.15841584158415845
random,seed_20261930,60,A_strict_38,control,combination,test,0.7,0.2670132934396969,0.9999999999999978,0.8415841584158416,hist_gradient_boosting,train_only_sigmoid_cv,101,85,16,0.8415841584158416,0.3176470588235294,0.20116618075801748,0.3333333333333333,0.6823529411764706,0.15841584158415845
random,seed_20261930,90,A_strict_38,control,forced_family,test,1.0,0.0,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.42574257425742573,0.3093714766063339,0.4232377538829151,0.5742574257425743,0.0
random,seed_20261930,90,A_strict_38,control,probability,test,0.7,0.2670132934396969,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.42574257425742573,0.3093714766063339,0.4232377538829151,0.5742574257425743,0.0
random,seed_20261930,90,A_strict_38,control,margin,test,0.7,0.0042116111104651965,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.42574257425742573,0.3093714766063339,0.4232377538829151,0.5742574257425743,0.0
random,seed_20261930,90,A_strict_38,control,distance,test,0.7,0.9999999999999873,,0.7623762376237624,hist_gradient_boosting,train_only_sigmoid_cv,101,78,23,0.7722772277227723,0.2564102564102564,0.05830903790087464,0.2,0.7435897435897436,0.2277227722772277
random,seed_20261930,90,A_strict_38,control,combination,test,0.7,0.2670132934396969,0.9999999999999873,0.7623762376237624,hist_gradient_boosting,train_only_sigmoid_cv,101,78,23,0.7722772277227723,0.2564102564102564,0.05830903790087464,0.2,0.7435897435897436,0.2277227722772277
random,seed_20262939,120,A_strict_38,main,forced_family,test,1.0,0.0,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.9900990099009901,0.850939932907146,0.9946236559139785,0.00990099009900991,0.0
random,seed_20262939,120,A_strict_38,main,probability,test,0.7,0.885205468273464,,0.7326732673267327,hist_gradient_boosting,train_only_sigmoid_cv,101,74,27,0.7326732673267327,1.0,0.7142857142857143,1.0,0.0,0.26732673267326734
random,seed_20262939,120,A_strict_38,main,margin,test,0.7,0.8259363474213057,,0.7326732673267327,hist_gradient_boosting,train_only_sigmoid_cv,101,74,27,0.7326732673267327,1.0,0.7142857142857143,1.0,0.0,0.26732673267326734
random,seed_20262939,120,A_strict_38,main,distance,test,0.7,3.316266695331133,,0.7029702970297029,hist_gradient_boosting,train_only_sigmoid_cv,101,65,36,0.6435643564356436,1.0,0.7142857142857143,1.0,0.0,0.3564356435643564
random,seed_20262939,120,A_strict_38,main,combination,test,0.7,0.452658456484154,3.316266695331133,0.7029702970297029,hist_gradient_boosting,train_only_sigmoid_cv,101,65,36,0.6435643564356436,1.0,0.7142857142857143,1.0,0.0,0.3564356435643564
random,seed_20262939,60,A_strict_38,control,forced_family,test,1.0,0.0,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.44554455445544555,0.33636498077491866,0.44175627240143367,0.5544554455445545,0.0
random,seed_20262939,60,A_strict_38,control,probability,test,0.7,0.26257153444979137,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.44554455445544555,0.33636498077491866,0.44175627240143367,0.5544554455445545,0.0
random,seed_20262939,60,A_strict_38,control,margin,test,0.7,0.004147818157253291,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.44554455445544555,0.33636498077491866,0.44175627240143367,0.5544554455445545,0.0
random,seed_20262939,60,A_strict_38,control,distance,test,0.7,1.00000000000001,,0.8217821782178217,hist_gradient_boosting,train_only_sigmoid_cv,101,83,18,0.8217821782178217,0.3253012048192771,0.20238095238095238,0.3333333333333333,0.6746987951807228,0.17821782178217827
random,seed_20262939,60,A_strict_38,control,combination,test,0.7,0.26257153444979137,1.00000000000001,0.8217821782178217,hist_gradient_boosting,train_only_sigmoid_cv,101,83,18,0.8217821782178217,0.3253012048192771,0.20238095238095238,0.3333333333333333,0.6746987951807228,0.17821782178217827
random,seed_20262939,90,A_strict_38,control,forced_family,test,1.0,0.0,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.44554455445544555,0.33636498077491866,0.44175627240143367,0.5544554455445545,0.0
random,seed_20262939,90,A_strict_38,control,probability,test,0.7,0.26257153444979137,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.44554455445544555,0.33636498077491866,0.44175627240143367,0.5544554455445545,0.0
random,seed_20262939,90,A_strict_38,control,margin,test,0.7,0.004147818157253291,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.44554455445544555,0.33636498077491866,0.44175627240143367,0.5544554455445545,0.0
random,seed_20262939,90,A_strict_38,control,distance,test,0.7,0.9999999999999978,,0.8217821782178217,hist_gradient_boosting,train_only_sigmoid_cv,101,83,18,0.8217821782178217,0.3253012048192771,0.20238095238095238,0.3333333333333333,0.6746987951807228,0.17821782178217827
random,seed_20262939,90,A_strict_38,control,combination,test,0.7,0.26257153444979137,0.9999999999999978,0.8217821782178217,hist_gradient_boosting,train_only_sigmoid_cv,101,83,18,0.8217821782178217,0.3253012048192771,0.20238095238095238,0.3333333333333333,0.6746987951807228,0.17821782178217827
random,seed_20263948,120,A_strict_38,main,forced_family,test,1.0,0.0,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.9900990099009901,0.850939932907146,0.9946236559139785,0.00990099009900991,0.0
random,seed_20263948,120,A_strict_38,main,probability,test,0.7,0.8763402553254566,,0.801980198019802,hist_gradient_boosting,train_only_sigmoid_cv,101,81,20,0.801980198019802,1.0,0.7142857142857143,1.0,0.0,0.19801980198019797
random,seed_20263948,120,A_strict_38,main,margin,test,0.7,0.8164705264203951,,0.801980198019802,hist_gradient_boosting,train_only_sigmoid_cv,101,81,20,0.801980198019802,1.0,0.7142857142857143,1.0,0.0,0.19801980198019797
random,seed_20263948,120,A_strict_38,main,distance,test,0.7,3.9632306220403914,,0.7029702970297029,hist_gradient_boosting,train_only_sigmoid_cv,101,70,31,0.693069306930693,1.0,0.7142857142857143,1.0,0.0,0.306930693069307
random,seed_20263948,120,A_strict_38,main,combination,test,0.7,0.4491505351203062,3.9632306220403914,0.7029702970297029,hist_gradient_boosting,train_only_sigmoid_cv,101,70,31,0.693069306930693,1.0,0.7142857142857143,1.0,0.0,0.306930693069307
random,seed_20263948,60,A_strict_38,control,forced_family,test,1.0,0.0,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.44554455445544555,0.33636498077491866,0.44175627240143367,0.5544554455445545,0.0
random,seed_20263948,60,A_strict_38,control,probability,test,0.7,0.26674897249515556,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.44554455445544555,0.33636498077491866,0.44175627240143367,0.5544554455445545,0.0
random,seed_20263948,60,A_strict_38,control,margin,test,0.7,0.0007049011495338098,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.44554455445544555,0.33636498077491866,0.44175627240143367,0.5544554455445545,0.0
random,seed_20263948,60,A_strict_38,control,distance,test,0.7,0.9999999999999992,,0.8118811881188119,hist_gradient_boosting,train_only_sigmoid_cv,101,83,18,0.8217821782178217,0.3253012048192771,0.20238095238095238,0.3333333333333333,0.6746987951807228,0.17821782178217827
random,seed_20263948,60,A_strict_38,control,combination,test,0.7,0.26674897249515556,0.9999999999999992,0.8118811881188119,hist_gradient_boosting,train_only_sigmoid_cv,101,83,18,0.8217821782178217,0.3253012048192771,0.20238095238095238,0.3333333333333333,0.6746987951807228,0.17821782178217827
random,seed_20263948,90,A_strict_38,control,forced_family,test,1.0,0.0,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.44554455445544555,0.33636498077491866,0.44175627240143367,0.5544554455445545,0.0
