split_type,split_id,window_s,evaluation_scope,model,selected_for_test,accuracy,macro_f1,macro_f1_observed,balanced_accuracy,n_classes_eval,minimum_support,level,true_label,predicted_label,count,eligible_families
random,seed_20260921,60,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,family,steam_generator_tube_rupture,auxiliary_letdown_break,0,
random,seed_20260921,60,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,family,steam_generator_tube_rupture,feedwater_line_break,20,
random,seed_20260921,60,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,family,steam_generator_tube_rupture,primary_coolant_boundary_break,0,
random,seed_20260921,60,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,family,steam_generator_tube_rupture,reactivity_and_control,0,
random,seed_20260921,60,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,family,steam_generator_tube_rupture,steam_generator_tube_rupture,0,
random,seed_20260921,60,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,family,steam_generator_tube_rupture,steam_line_break,0,
random,seed_20260921,60,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,family,steam_generator_tube_rupture,turbine_and_load_transient,0,
random,seed_20260921,60,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,family,steam_line_break,auxiliary_letdown_break,0,
random,seed_20260921,60,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,family,steam_line_break,feedwater_line_break,15,
random,seed_20260921,60,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,family,steam_line_break,primary_coolant_boundary_break,0,
random,seed_20260921,60,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,family,steam_line_break,reactivity_and_control,0,
random,seed_20260921,60,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,family,steam_line_break,steam_generator_tube_rupture,0,
random,seed_20260921,60,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,family,steam_line_break,steam_line_break,3,
random,seed_20260921,60,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,family,steam_line_break,turbine_and_load_transient,0,
random,seed_20260921,60,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,family,turbine_and_load_transient,auxiliary_letdown_break,0,
random,seed_20260921,60,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,family,turbine_and_load_transient,feedwater_line_break,5,
random,seed_20260921,60,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,family,turbine_and_load_transient,primary_coolant_boundary_break,0,
random,seed_20260921,60,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,family,turbine_and_load_transient,reactivity_and_control,0,
random,seed_20260921,60,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,family,turbine_and_load_transient,steam_generator_tube_rupture,0,
random,seed_20260921,60,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,family,turbine_and_load_transient,steam_line_break,0,
random,seed_20260921,60,family_model,hist_gradient_boosting,True,0.44554455445544555,0.33636498077491866,0.39242581090407175,0.44175627240143367,6,5,family,turbine_and_load_transient,turbine_and_load_transient,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,FLB,FLB,20,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,FLB,LLB,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,FLB,LOCA,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,FLB,LOCAC,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,FLB,LR,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,FLB,MD,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,FLB,RI,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,FLB,RW,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,FLB,SGATR,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,FLB,SGBTR,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,FLB,SLBIC,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,FLB,SLBOC,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LLB,FLB,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LLB,LLB,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LLB,LOCA,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LLB,LOCAC,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LLB,LR,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LLB,MD,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LLB,RI,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LLB,RW,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LLB,SGATR,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LLB,SGBTR,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LLB,SLBIC,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LLB,SLBOC,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LOCA,FLB,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LOCA,LLB,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LOCA,LOCA,15,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LOCA,LOCAC,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LOCA,LR,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LOCA,MD,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LOCA,RI,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LOCA,RW,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LOCA,SGATR,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LOCA,SGBTR,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LOCA,SLBIC,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LOCA,SLBOC,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LOCAC,FLB,16,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LOCAC,LLB,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LOCAC,LOCA,0,
random,seed_20260921,60,fine_grained_12_class,hist_gradient_boosting,True,0.44554455445544555,0.2251984126984127,0.33779761904761907,0.39583333333333337,8,5,subtype,LOCAC,LOCAC,0,
