mode,landmark_s,input_group,model,split,n_trajectories,feature_count,excluded_high_coupling_count,suspicious_train_feature_count,mae,rmse,r2
strict,30,severity_only,naive_mean,train,60,1,0,0,54.60666666666667,109.81132682924837,0.0
strict,30,severity_only,naive_mean,validation,20,1,0,0,81.09000000000002,213.5504916875632,-0.021597418531617008
strict,30,severity_only,naive_mean,test,20,1,0,0,130.64000000000001,421.8030316391763,-0.03863294492599878
strict,30,severity_only,ridge,train,60,1,0,0,48.484221605300455,93.67351932569586,0.2723217471733994
strict,30,severity_only,ridge,validation,20,1,0,0,73.7031731801205,193.54502270223878,0.1608441046590553
strict,30,severity_only,ridge,test,20,1,0,0,122.26935211287761,401.3164432100859,0.059807874514902326
strict,30,severity_only,random_forest,train,60,1,0,0,10.87654303551387,38.57403364880573,0.8766054916788806
strict,30,severity_only,random_forest,validation,20,1,0,0,33.87305642135641,127.77146329962987,0.6342819692661832
strict,30,severity_only,random_forest,test,20,1,0,0,87.65204950396824,338.78227642362435,0.3299857117972549
strict,30,severity_only,gradient_boosting,train,60,1,0,0,9.319315112360142,43.82567464674879,0.8407193781958304
strict,30,severity_only,gradient_boosting,validation,20,1,0,0,33.53631269046743,137.7220543925928,0.5751010867652075
strict,30,severity_only,gradient_boosting,test,20,1,0,0,86.03502401767435,348.4847179639786,0.2910588652775127
strict,30,process_only,naive_mean,train,60,190,0,0,54.60666666666667,109.81132682924837,0.0
strict,30,process_only,naive_mean,validation,20,190,0,0,81.09000000000002,213.5504916875632,-0.021597418531617008
strict,30,process_only,naive_mean,test,20,190,0,0,130.64000000000001,421.8030316391763,-0.03863294492599878
strict,30,process_only,ridge,train,60,190,0,0,54.60666666666667,109.81132682924837,0.0
strict,30,process_only,ridge,validation,20,190,0,0,81.09000000000002,213.5504916875632,-0.021597418531617008
strict,30,process_only,ridge,test,20,190,0,0,130.64000000000001,421.8030316391763,-0.03863294492599878
strict,30,process_only,random_forest,train,60,190,0,0,54.551200000000065,109.8113657413262,-7.087080331480422e-07
strict,30,process_only,random_forest,validation,20,190,0,0,81.03453333333339,213.56395259026115,-0.021726212960956115
strict,30,process_only,random_forest,test,20,190,0,0,130.58453333333338,421.8208704617238,-0.038720798161741676
strict,30,process_only,gradient_boosting,train,60,190,0,0,43.75085682957785,111.72798493760868,-0.03521284984576334
strict,30,process_only,gradient_boosting,validation,20,190,0,0,71.01314262218337,217.50418868478496,-0.05977552487295634
strict,30,process_only,gradient_boosting,test,20,190,0,0,121.01314262218341,426.25701159760536,-0.06068340019384744
strict,30,severity_plus_process,naive_mean,train,60,191,0,0,54.60666666666667,109.81132682924837,0.0
strict,30,severity_plus_process,naive_mean,validation,20,191,0,0,81.09000000000002,213.5504916875632,-0.021597418531617008
strict,30,severity_plus_process,naive_mean,test,20,191,0,0,130.64000000000001,421.8030316391763,-0.03863294492599878
strict,30,severity_plus_process,ridge,train,60,191,0,0,48.484221605300455,93.67351932569585,0.27232174717339963
strict,30,severity_plus_process,ridge,validation,20,191,0,0,73.7031731801205,193.54502270223878,0.16084410465905497
strict,30,severity_plus_process,ridge,test,20,191,0,0,122.2693521128776,401.3164432100859,0.05980787451490244
strict,30,severity_plus_process,random_forest,train,60,191,0,0,10.87654303551387,38.57403364880573,0.8766054916788807
strict,30,severity_plus_process,random_forest,validation,20,191,0,0,33.873056421356424,127.77146329962987,0.6342819692661832
strict,30,severity_plus_process,random_forest,test,20,191,0,0,87.65204950396824,338.78227642362435,0.3299857117972549
strict,30,severity_plus_process,gradient_boosting,train,60,191,0,0,9.319315112360142,43.82567464674879,0.8407193781958304
strict,30,severity_plus_process,gradient_boosting,validation,20,191,0,0,33.53631269046743,137.7220543925928,0.5751010867652075
