model,all_sample_60_macro_f1,all_sample_120_macro_f1,all_sample_macro_f1_gain_120_vs_60,strict_pre_protection_only_60_macro_f1,strict_pre_protection_only_120_macro_f1,strict_pre_protection_only_macro_f1_gain_120_vs_60
hist_gradient_boosting,0.19275498978469274,0.7525839962224402,0.5598290064377475,0.19506172839506175,0.5664983164983165,0.37143658810325475
logistic_regression,0.19275498978469274,0.711920631461331,0.5191656416766383,0.1979602791196994,0.6472222222222223,0.4492619431025229
naive_majority,0.012531328320802004,0.012722646310432571,0.0001913179896305666,0.02054794520547945,0.02727272727272727,0.0067247820672478205
random_forest,0.19275498978469274,0.7488484378142246,0.5560934480295319,0.19506172839506175,0.5595029239766082,0.3644411955815464
